chr,start,end,dmr_id,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,old-young
chr1,39648851,39648859,chr1-39648851-39648859,0.68,0.49,0.44,chr1,39616406,39653474,ENSMUSG00000050967.5,-,Creg2,protein_coding,-0.24000000000000005
chr1,39648851,39648859,chr1-39648851-39648859,0.68,0.49,0.44,chr1,39648176,39659390,ENSMUSG00000097083.1,+,D930019O06Rik,antisense,-0.24000000000000005
chr1,39908522,39908643,chr1-39908522-39908643,0.43,0.34,0.21,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.22
chr1,39924278,39924306,chr1-39924278-39924306,0.4,0.16,0.22,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.18000000000000002
chr1,39926740,39926966,chr1-39926740-39926966,0.61,0.43,0.39,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.21999999999999997
chr1,39931765,39931831,chr1-39931765-39931831,0.42,0.27,0.18,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.24
chr1,39946460,39946641,chr1-39946460-39946641,0.4,0.23,0.16,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.24000000000000002
chr1,39952821,39952832,chr1-39952821-39952832,0.53,0.38,0.24,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.29000000000000004
chr1,39953001,39953014,chr1-39953001-39953014,0.34,0.14,0.12,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.22000000000000003
chr1,39973018,39973025,chr1-39973018-39973025,0.54,0.42,0.34,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.2
chr1,39983250,39983260,chr1-39983250-39983260,0.35,0.23,0.15,chr1,39898913,40028310,ENSMUSG00000026074.10,+,Map4k4,protein_coding,-0.19999999999999998
chr1,40308791,40308809,chr1-40308791-40308809,0.75,0.88,1.0,chr1,40223080,40319257,ENSMUSG00000026072.8,+,Il1r1,protein_coding,0.25
chr1,41817053,41817075,chr1-41817053-41817075,0.57,0.7,0.77,chr1,41779808,41941560,ENSMUSG00000100832.1,+,Gm29260,lincRNA,0.20000000000000007
chr1,42629883,42630021,chr1-42629883-42630021,0.52,0.37,0.3,chr1,42588782,42696842,ENSMUSG00000060424.10,-,Pantr1,lincRNA,-0.22000000000000003
chr1,42688745,42688778,chr1-42688745-42688778,0.61,0.75,0.84,chr1,42588782,42696842,ENSMUSG00000060424.10,-,Pantr1,lincRNA,0.22999999999999998
chr1,43511360,43511367,chr1-43511360-43511367,0.56,0.77,0.64,chr1,43442579,43572515,ENSMUSG00000066877.7,+,Nck2,protein_coding,0.07999999999999996
chr1,46181005,46181012,chr1-46181005-46181012,0.71,0.96,0.83,chr1,46064315,46375546,ENSMUSG00000041144.10,+,Dnah7b,protein_coding,0.12
chr1,49324511,49324568,chr1-49324511-49324568,0.63,0.82,0.83,chr1,49242616,49342443,ENSMUSG00000051616.10,+,C230029F24Rik,lincRNA,0.19999999999999996
chr1,52462926,52462969,chr1-52462926-52462969,0.53,0.74,0.61,chr1,52455294,52502679,ENSMUSG00000002881.10,-,Nab1,protein_coding,0.07999999999999996
chr1,53257302,53257359,chr1-53257302-53257359,0.43,0.6,0.67,chr1,53187187,53299018,ENSMUSG00000026098.9,-,Pms1,protein_coding,0.24000000000000005
chr1,53925345,53925424,chr1-53925345-53925424,0.5,0.66,0.7,chr1,53804876,54197168,ENSMUSG00000042807.11,-,Hecw2,protein_coding,0.19999999999999996
chr1,54049126,54049140,chr1-54049126-54049140,0.52,0.33,0.31,chr1,53804876,54197168,ENSMUSG00000042807.11,-,Hecw2,protein_coding,-0.21000000000000002
chr1,54247931,54248387,chr1-54247931-54248387,0.54,0.63,0.78,chr1,54247102,54251208,ENSMUSG00000094013.1,-,Gm25829,snRNA,0.24
chr1,54474768,54474823,chr1-54474768-54474823,0.48,0.62,0.74,chr1,54470994,54559684,ENSMUSG00000073678.4,-,Pgap1,protein_coding,0.26
chr1,54688844,54689143,chr1-54688844-54689143,0.46,0.6,0.68,chr1,54679729,54769524,ENSMUSG00000101674.2,+,4930444A19Rik,antisense,0.22000000000000003
chr1,54688844,54689143,chr1-54688844-54689143,0.46,0.6,0.68,chr1,54643340,54928387,ENSMUSG00000052331.10,-,Ankrd44,protein_coding,0.22000000000000003
chr1,54844636,54844877,chr1-54844636-54844877,0.73,0.51,0.47,chr1,54643340,54928387,ENSMUSG00000052331.10,-,Ankrd44,protein_coding,-0.26
chr1,54923801,54923827,chr1-54923801-54923827,0.53,0.35,0.28,chr1,54643340,54928387,ENSMUSG00000052331.10,-,Ankrd44,protein_coding,-0.25
chr1,55205180,55205200,chr1-55205180-55205200,0.36,0.47,0.57,chr1,55168159,55228782,ENSMUSG00000025978.10,-,Rftn2,protein_coding,0.20999999999999996
chr1,55354360,55354990,chr1-55354360-55354990,0.66,0.78,0.86,chr1,55246658,55365469,ENSMUSG00000025977.11,-,Boll,protein_coding,0.19999999999999996
chr1,55470026,55470044,chr1-55470026-55470044,0.8,0.6,0.64,chr1,55403921,55756285,ENSMUSG00000038349.10,+,Plcl1,protein_coding,-0.16000000000000003
chr1,55606600,55606678,chr1-55606600-55606678,0.58,0.43,0.35,chr1,55403921,55756285,ENSMUSG00000038349.10,+,Plcl1,protein_coding,-0.22999999999999998
chr1,55701924,55701967,chr1-55701924-55701967,0.52,0.32,0.29,chr1,55403921,55756285,ENSMUSG00000038349.10,+,Plcl1,protein_coding,-0.23000000000000004
chr1,55734687,55734805,chr1-55734687-55734805,0.42,0.2,0.19,chr1,55403921,55756285,ENSMUSG00000038349.10,+,Plcl1,protein_coding,-0.22999999999999998
chr1,58556498,58556514,chr1-58556498-58556514,0.39,0.49,0.6,chr1,58520806,58588323,ENSMUSG00000038174.10,-,Fam126b,protein_coding,0.20999999999999996
chr1,59292236,59292244,chr1-59292236-59292244,0.25,0.36,0.46,chr1,59254906,59354993,ENSMUSG00000026023.12,+,Cdk15,protein_coding,0.21000000000000002
chr1,59315298,59315520,chr1-59315298-59315520,0.71,0.6,0.48,chr1,59254906,59354993,ENSMUSG00000026023.12,+,Cdk15,protein_coding,-0.22999999999999998
chr1,59485533,59485846,chr1-59485533-59485846,0.61,0.46,0.38,chr1,59480424,59488955,ENSMUSG00000041075.8,+,Fzd7,protein_coding,-0.22999999999999998
chr1,59811800,59811840,chr1-59811800-59811840,0.49,0.64,0.75,chr1,59761400,59881014,ENSMUSG00000067336.6,+,Bmpr2,protein_coding,0.26
chr1,60738232,60738235,chr1-60738232-60738235,0.86,0.83,0.63,chr1,60714800,60775359,ENSMUSG00000026012.2,+,Cd28,protein_coding,-0.22999999999999998
chr1,62570732,62570849,chr1-62570732-62570849,0.55,0.69,0.75,chr1,61636824,62644284,ENSMUSG00000052062.10,+,Pard3b,protein_coding,0.19999999999999996
chr1,62710076,62710109,chr1-62710076-62710109,0.48,0.18,0.11,chr1,62701285,62820695,ENSMUSG00000025969.11,+,Nrp2,protein_coding,-0.37
chr1,62756182,62756191,chr1-62756182-62756191,0.7,0.54,0.44,chr1,62701285,62820695,ENSMUSG00000025969.11,+,Nrp2,protein_coding,-0.25999999999999995
chr1,62796275,62796281,chr1-62796275-62796281,0.5,0.72,0.7,chr1,62701285,62820695,ENSMUSG00000025969.11,+,Nrp2,protein_coding,0.19999999999999996
chr1,63087414,63087512,chr1-63087414-63087512,0.54,0.7,0.79,chr1,62956418,63116667,ENSMUSG00000040865.11,-,Ino80d,protein_coding,0.25
chr1,64850058,64850117,chr1-64850058-64850117,0.44,0.28,0.21,chr1,64783983,64958824,ENSMUSG00000051344.9,-,Plekhm3,protein_coding,-0.23
chr1,64915911,64915939,chr1-64915911-64915939,0.48,0.33,0.25,chr1,64783983,64958824,ENSMUSG00000051344.9,-,Plekhm3,protein_coding,-0.22999999999999998
chr1,66182790,66182922,chr1-66182790-66182922,0.52,0.66,0.75,chr1,66173273,66444583,ENSMUSG00000015222.13,+,Map2,protein_coding,0.22999999999999998
chr1,66251884,66251980,chr1-66251884-66251980,0.56,0.65,0.76,chr1,66173273,66444583,ENSMUSG00000015222.13,+,Map2,protein_coding,0.19999999999999996
chr1,69074526,69074537,chr1-69074526-69074537,0.38,0.22,0.17,chr1,68030186,69110059,ENSMUSG00000062209.11,-,Erbb4,protein_coding,-0.21
chr1,71303477,71303499,chr1-71303477-71303499,0.28,0.39,0.49,chr1,71240276,71416910,ENSMUSG00000050296.10,-,Abca12,protein_coding,0.20999999999999996
chr1,71327319,71327341,chr1-71327319-71327341,0.39,0.51,0.64,chr1,71240276,71416910,ENSMUSG00000050296.10,-,Abca12,protein_coding,0.25
chr1,72168464,72168537,chr1-72168464-72168537,0.34,0.45,0.55,chr1,72157442,72214307,ENSMUSG00000039395.8,-,Mreg,protein_coding,0.21000000000000002
chr1,72601026,72601038,chr1-72601026-72601038,0.77,0.67,0.55,chr1,72581251,72635134,ENSMUSG00000039354.12,+,Smarcal1,protein_coding,-0.21999999999999997
chr1,72826634,72826736,chr1-72826634-72826736,0.39,0.59,0.56,chr1,72822503,72854474,ENSMUSG00000039323.14,+,Igfbp2,protein_coding,0.17000000000000004
chr1,73830897,73831004,chr1-73830897-73831004,0.4,0.52,0.6,chr1,73616088,73866466,ENSMUSG00000100301.2,-,6030407O03Rik,lincRNA,0.19999999999999996
chr1,73830897,73831004,chr1-73830897-73831004,0.4,0.52,0.6,chr1,73748321,73843917,ENSMUSG00000101344.1,-,Gm29183,lincRNA,0.19999999999999996
chr1,73863377,73863429,chr1-73863377-73863429,0.79,0.62,0.56,chr1,73616088,73866466,ENSMUSG00000100301.2,-,6030407O03Rik,lincRNA,-0.22999999999999998
chr1,73863838,73864105,chr1-73863838-73864105,0.83,0.61,0.6,chr1,73616088,73866466,ENSMUSG00000100301.2,-,6030407O03Rik,lincRNA,-0.22999999999999998
chr1,73930036,73930108,chr1-73930036-73930108,0.63,0.49,0.4,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.22999999999999998
chr1,73955836,73955913,chr1-73955836-73955913,0.57,0.35,0.3,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.26999999999999996
chr1,73963938,73963955,chr1-73963938-73963955,0.41,0.1,0.09,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.31999999999999995
chr1,74067888,74067913,chr1-74067888-74067913,0.55,0.71,0.76,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,0.20999999999999996
chr1,74396267,74396457,chr1-74396267-74396457,0.43,0.5,0.64,chr1,74389509,74399285,ENSMUSG00000026176.9,+,Ctdsp1,protein_coding,0.21000000000000002
chr1,74396267,74396457,chr1-74396267-74396457,0.43,0.5,0.64,chr1,74392310,74396394,ENSMUSG00000065468.1,+,Mir26b,miRNA,0.21000000000000002
chr1,74881870,74881880,chr1-74881870-74881880,0.47,0.59,0.7,chr1,74879509,74887419,ENSMUSG00000055197.4,-,Fev,protein_coding,0.22999999999999998
chr1,74881870,74881880,chr1-74881870-74881880,0.47,0.59,0.7,chr1,74848895,74881953,ENSMUSG00000089964.1,+,Gm16582,processed_transcript,0.22999999999999998
chr1,75249459,75249540,chr1-75249459-75249540,0.42,0.24,0.21,chr1,75245027,75266502,ENSMUSG00000026204.11,-,Ptprn,protein_coding,-0.21
chr1,76112502,76112667,chr1-76112502-76112667,0.66,0.41,0.39,chr1,76108181,76112580,ENSMUSG00000101763.1,-,Gm29068,processed_pseudogene,-0.27
chr1,77414897,77414992,chr1-77414897-77414992,0.73,0.51,0.49,chr1,77365185,77517088,ENSMUSG00000026235.10,-,Epha4,protein_coding,-0.24
chr1,79185226,79185229,chr1-79185226-79185229,0.8,0.7,0.9,chr1,78789623,79226511,ENSMUSG00000099706.1,-,Gm29536,lincRNA,0.09999999999999998
chr1,80522263,80522285,chr1-80522263-80522285,0.46,0.69,0.64,chr1,80499073,80760527,ENSMUSG00000038608.11,-,Dock10,protein_coding,0.18
chr1,84079615,84079658,chr1-84079615-84079658,0.55,0.68,0.78,chr1,84034296,84366180,ENSMUSG00000045658.12,-,Pid1,protein_coding,0.22999999999999998
chr1,84079910,84080055,chr1-84079910-84080055,0.37,0.51,0.6,chr1,84034296,84366180,ENSMUSG00000045658.12,-,Pid1,protein_coding,0.22999999999999998
chr1,84619652,84619658,chr1-84619652-84619658,0.57,0.46,0.32,chr1,84367839,84698221,ENSMUSG00000036766.8,-,Dner,protein_coding,-0.24999999999999994
chr1,85587358,85587391,chr1-85587358-85587391,0.7,0.92,0.9,chr1,85574899,85600817,ENSMUSG00000070034.9,-,Sp110,protein_coding,0.20000000000000007
chr1,85898003,85898020,chr1-85898003-85898020,0.64,0.42,0.47,chr1,85892281,85910675,ENSMUSG00000026223.11,+,Itm2c,protein_coding,-0.17000000000000004
chr1,86758443,86758464,chr1-86758443-86758464,0.53,0.4,0.31,chr1,86701808,87052095,ENSMUSG00000053333.11,+,Dis3l2,protein_coding,-0.22000000000000003
chr1,87283349,87283405,chr1-87283349-87283405,0.39,0.24,0.17,chr1,87262363,87312839,ENSMUSG00000026255.11,+,Efhd1,protein_coding,-0.22
chr1,87307183,87307371,chr1-87307183-87307371,0.62,0.45,0.36,chr1,87262363,87312839,ENSMUSG00000026255.11,+,Efhd1,protein_coding,-0.26
chr1,89075312,89075336,chr1-89075312-89075336,0.57,0.64,0.8,chr1,89068415,89157068,ENSMUSG00000036206.8,+,Sh3bp4,protein_coding,0.2300000000000001
chr1,89308684,89308707,chr1-89308684-89308707,0.47,0.44,0.27,chr1,89300719,89360144,ENSMUSG00000101288.1,-,Gm28342,lincRNA,-0.19999999999999996
chr1,89332427,89332531,chr1-89332427-89332531,0.59,0.82,0.75,chr1,89300719,89360144,ENSMUSG00000101288.1,-,Gm28342,lincRNA,0.16000000000000003
chr1,89385309,89385315,chr1-89385309-89385315,0.5,0.42,0.26,chr1,89358342,89408133,ENSMUSG00000099938.1,-,C030007H22Rik,lincRNA,-0.24
chr1,89510236,89510278,chr1-89510236-89510278,0.39,0.26,0.17,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.22
chr1,89515959,89515968,chr1-89515959-89515968,0.82,0.67,0.6,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.21999999999999997
chr1,89571493,89571526,chr1-89571493-89571526,0.58,0.43,0.37,chr1,89566765,89578602,ENSMUSG00000101662.1,+,Gm28499,sense_intronic,-0.20999999999999996
chr1,89571493,89571526,chr1-89571493-89571526,0.58,0.43,0.37,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.20999999999999996
chr1,89575794,89575800,chr1-89575794-89575800,0.4,0.21,0.19,chr1,89566765,89578602,ENSMUSG00000101662.1,+,Gm28499,sense_intronic,-0.21000000000000002
chr1,89575794,89575800,chr1-89575794-89575800,0.4,0.21,0.19,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.21000000000000002
chr1,89582685,89582715,chr1-89582685-89582715,0.32,0.13,0.08,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.24
chr1,89593276,89593369,chr1-89593276-89593369,0.51,0.37,0.27,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.24
chr1,89608073,89608147,chr1-89608073-89608147,0.42,0.28,0.18,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.24
chr1,89616669,89616736,chr1-89616669-89616736,0.68,0.43,0.37,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.31000000000000005
chr1,89617981,89617984,chr1-89617981-89617984,0.54,0.39,0.3,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.24000000000000005
chr1,89631243,89631845,chr1-89631243-89631845,0.53,0.31,0.38,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.15000000000000002
chr1,89681638,89681670,chr1-89681638-89681670,0.44,0.25,0.18,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.26
chr1,89681638,89681670,chr1-89681638-89681670,0.44,0.25,0.18,chr1,89648529,89685908,ENSMUSG00000102009.2,-,4933400F21Rik,processed_transcript,-0.26
chr1,89728731,89728767,chr1-89728731-89728767,0.35,0.2,0.15,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.19999999999999998
chr1,89751070,89751074,chr1-89751070-89751074,0.35,0.23,0.11,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.24
chr1,89751295,89751305,chr1-89751295-89751305,0.36,0.23,0.11,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.25
chr1,89754008,89754063,chr1-89754008-89754063,0.63,0.45,0.38,chr1,89452806,89899617,ENSMUSG00000055013.10,+,Agap1,protein_coding,-0.25
chr1,89926419,89926437,chr1-89926419-89926437,0.48,0.58,0.73,chr1,89925956,89933179,ENSMUSG00000034486.8,-,Gbx2,protein_coding,0.25
chr1,90132592,90132601,chr1-90132592-90132601,0.37,0.57,0.53,chr1,90040132,90155401,ENSMUSG00000026301.11,-,Iqca,protein_coding,0.16000000000000003
chr1,90213145,90213148,chr1-90213145-90213148,0.74,0.65,0.52,chr1,90201980,90218751,ENSMUSG00000044337.5,+,Ackr3,protein_coding,-0.21999999999999997
chr1,91206464,91206610,chr1-91206464-91206610,0.52,0.39,0.28,chr1,91177822,91227196,ENSMUSG00000034353.10,+,Ramp1,protein_coding,-0.24
chr1,92004932,92004964,chr1-92004932-92004964,0.48,0.34,0.24,chr1,91926779,92182341,ENSMUSG00000026313.11,-,Hdac4,protein_coding,-0.24
chr1,92128598,92128657,chr1-92128598-92128657,0.84,0.77,0.63,chr1,91926779,92182341,ENSMUSG00000026313.11,-,Hdac4,protein_coding,-0.20999999999999996
chr1,92145342,92145348,chr1-92145342-92145348,0.66,0.45,0.35,chr1,91926779,92182341,ENSMUSG00000026313.11,-,Hdac4,protein_coding,-0.31000000000000005
chr1,93090808,93090856,chr1-93090808-93090856,0.45,0.27,0.21,chr1,93013464,93103951,ENSMUSG00000014602.11,-,Kif1a,protein_coding,-0.24000000000000002
chr1,93181096,93181180,chr1-93181096-93181180,0.49,0.28,0.23,chr1,93166725,93233072,ENSMUSG00000084989.3,+,E030010N08Rik,protein_coding,-0.26
chr1,93184593,93184784,chr1-93184593-93184784,0.49,0.34,0.28,chr1,93166725,93233072,ENSMUSG00000084989.3,+,E030010N08Rik,protein_coding,-0.20999999999999996
chr1,93188248,93188298,chr1-93188248-93188298,0.78,0.65,0.56,chr1,93166725,93233072,ENSMUSG00000084989.3,+,E030010N08Rik,protein_coding,-0.21999999999999997
chr1,93214501,93214534,chr1-93214501-93214534,0.48,0.3,0.21,chr1,93166725,93233072,ENSMUSG00000084989.3,+,E030010N08Rik,protein_coding,-0.27
chr1,93224091,93224109,chr1-93224091-93224109,0.44,0.55,0.65,chr1,93166725,93233072,ENSMUSG00000084989.3,+,E030010N08Rik,protein_coding,0.21000000000000002
chr1,94022313,94022402,chr1-94022313-94022402,0.81,0.75,0.56,chr1,94018451,94030334,ENSMUSG00000034000.11,+,Neu4,protein_coding,-0.25
chr1,96979212,96979341,chr1-96979212-96979341,0.73,0.79,0.93,chr1,96904176,96999577,ENSMUSG00000045463.11,-,Slco6b1,transcribed_unprocessed_pseudogene,0.20000000000000007
