chr,start,end,dmr_id,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,old-young
chr1,37442701,37442747,chr1-37442701-37442747,0.6,0.51,0.38,chr1,37437340,37543016,ENSMUSG00000026110.11,-,Mgat4a,protein_coding,-0.21999999999999997
chr1,37462983,37463044,chr1-37462983-37463044,0.71,0.63,0.51,chr1,37437340,37543016,ENSMUSG00000026110.11,-,Mgat4a,protein_coding,-0.19999999999999996
chr1,37662576,37662622,chr1-37662576-37662622,0.51,0.33,0.24,chr1,37658722,37664647,ENSMUSG00000104365.1,+,RP23-402K6.2,TEC,-0.27
chr1,37662576,37662622,chr1-37662576-37662622,0.51,0.33,0.24,chr1,37609677,37722085,ENSMUSG00000026090.12,-,2010300C02Rik,protein_coding,-0.27
chr1,37760163,37760236,chr1-37760163-37760236,0.56,0.41,0.27,chr1,37752776,37868429,ENSMUSG00000060771.10,-,Tsga10,protein_coding,-0.29000000000000004
chr1,37873389,37873485,chr1-37873389-37873485,0.52,0.43,0.29,chr1,37869738,37878228,ENSMUSG00000037216.5,+,Lipt1,protein_coding,-0.23000000000000004
chr1,37873389,37873485,chr1-37873389-37873485,0.52,0.43,0.29,chr1,37872801,37892411,ENSMUSG00000026088.11,-,Mitd1,protein_coding,-0.23000000000000004
chr1,38071424,38071466,chr1-38071424-38071466,0.53,0.38,0.3,chr1,38050786,38131801,ENSMUSG00000026082.7,-,Rev1,protein_coding,-0.23000000000000004
chr1,38236262,38236277,chr1-38236262-38236277,0.32,0.53,0.43,chr1,38233420,38248666,ENSMUSG00000085391.1,+,Gm16150,antisense,0.10999999999999999
chr1,38236262,38236277,chr1-38236262-38236277,0.32,0.53,0.43,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,0.10999999999999999
chr1,38334607,38334626,chr1-38334607-38334626,0.48,0.38,0.26,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,-0.21999999999999997
chr1,38389823,38389920,chr1-38389823-38389920,0.77,0.68,0.55,chr1,38382949,38395974,ENSMUSG00000087131.3,+,Gm16152,antisense,-0.21999999999999997
chr1,38389823,38389920,chr1-38389823-38389920,0.77,0.68,0.55,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,-0.21999999999999997
chr1,38448923,38448957,chr1-38448923-38448957,0.62,0.54,0.4,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,-0.21999999999999997
chr1,38554620,38554756,chr1-38554620-38554756,0.59,0.49,0.38,chr1,38175326,38666955,ENSMUSG00000037138.12,-,Aff3,protein_coding,-0.20999999999999996
chr1,39235963,39236337,chr1-39235963-39236337,0.76,0.65,0.51,chr1,39191731,39365236,ENSMUSG00000026077.11,+,Npas2,protein_coding,-0.25
chr1,39261262,39261359,chr1-39261262-39261359,0.65,0.42,0.3,chr1,39191731,39365236,ENSMUSG00000026077.11,+,Npas2,protein_coding,-0.35000000000000003
chr1,39676335,39676384,chr1-39676335-39676384,0.41,0.35,0.16,chr1,39663301,39722997,ENSMUSG00000057173.8,-,Rfx8,protein_coding,-0.24999999999999997
chr1,39687729,39687738,chr1-39687729-39687738,0.3,0.51,0.46,chr1,39663301,39722997,ENSMUSG00000057173.8,-,Rfx8,protein_coding,0.16000000000000003
chr1,43109909,43109958,chr1-43109909-43109958,0.75,0.55,0.49,chr1,43096710,43117947,ENSMUSG00000010290.7,+,AI597479,protein_coding,-0.26
chr1,43168685,43168855,chr1-43168685-43168855,0.62,0.48,0.42,chr1,43121074,43198984,ENSMUSG00000008136.10,-,Fhl2,protein_coding,-0.2
chr1,43523693,43523780,chr1-43523693-43523780,0.31,0.52,0.4,chr1,43442579,43572515,ENSMUSG00000066877.7,+,Nck2,protein_coding,0.09000000000000002
chr1,43953961,43953966,chr1-43953961-43953966,0.8,0.66,0.55,chr1,43931647,44005000,ENSMUSG00000041763.10,+,Tpp2,protein_coding,-0.25
chr1,44167232,44167311,chr1-44167232-44167311,0.85,0.7,0.62,chr1,44145744,44183260,ENSMUSG00000026048.12,+,Ercc5,protein_coding,-0.22999999999999998
chr1,51091458,51091574,chr1-51091458-51091574,0.72,0.56,0.51,chr1,50898647,51189270,ENSMUSG00000026109.10,+,Tmeff2,protein_coding,-0.20999999999999996
chr1,51118031,51118062,chr1-51118031-51118062,0.39,0.25,0.16,chr1,50898647,51189270,ENSMUSG00000026109.10,+,Tmeff2,protein_coding,-0.23
chr1,51120975,51121087,chr1-51120975-51121087,0.47,0.36,0.26,chr1,50898647,51189270,ENSMUSG00000026109.10,+,Tmeff2,protein_coding,-0.20999999999999996
chr1,52156404,52156442,chr1-52156404-52156442,0.54,0.44,0.32,chr1,52075261,52158087,ENSMUSG00000101628.1,+,Gm28177,processed_transcript,-0.22000000000000003
chr1,52156404,52156442,chr1-52156404-52156442,0.54,0.44,0.32,chr1,52117440,52163865,ENSMUSG00000026104.10,+,Stat1,protein_coding,-0.22000000000000003
chr1,52799433,52799707,chr1-52799433-52799707,0.64,0.44,0.39,chr1,52783427,52819688,ENSMUSG00000026102.5,-,Inpp1,protein_coding,-0.25
chr1,52802625,52802640,chr1-52802625-52802640,0.46,0.25,0.19,chr1,52783427,52819688,ENSMUSG00000026102.5,-,Inpp1,protein_coding,-0.27
chr1,53409524,53409546,chr1-53409524-53409546,0.79,0.64,0.58,chr1,53395006,53708784,ENSMUSG00000096141.2,-,Dnah7a,protein_coding,-0.21000000000000008
chr1,53838719,53838729,chr1-53838719-53838729,0.71,0.57,0.47,chr1,53804876,54197168,ENSMUSG00000042807.11,-,Hecw2,protein_coding,-0.24
chr1,54853398,54853465,chr1-54853398-54853465,0.43,0.65,0.66,chr1,54643340,54928387,ENSMUSG00000052331.10,-,Ankrd44,protein_coding,0.23000000000000004
chr1,55427403,55427592,chr1-55427403-55427592,0.5,0.48,0.3,chr1,55403921,55756285,ENSMUSG00000038349.10,+,Plcl1,protein_coding,-0.2
chr1,56891889,56891899,chr1-56891889-56891899,0.32,0.51,0.53,chr1,56791981,56980650,ENSMUSG00000038331.11,-,Satb2,protein_coding,0.21000000000000002
chr1,57820038,57820072,chr1-57820038-57820072,0.8,0.66,0.55,chr1,57772162,57950394,ENSMUSG00000038305.10,+,Spats2l,protein_coding,-0.25
chr1,58301082,58301090,chr1-58301082-58301090,0.56,0.46,0.35,chr1,58252117,58317656,ENSMUSG00000089822.1,-,Gm15759,antisense,-0.21000000000000008
chr1,58301082,58301090,chr1-58301082-58301090,0.56,0.46,0.35,chr1,58276326,58382259,ENSMUSG00000079554.2,+,Aox2,protein_coding,-0.21000000000000008
chr1,58359514,58359535,chr1-58359514-58359535,0.71,0.58,0.43,chr1,58276326,58382259,ENSMUSG00000079554.2,+,Aox2,protein_coding,-0.27999999999999997
chr1,58663471,58663488,chr1-58663471-58663488,0.83,0.7,0.62,chr1,58644903,58697989,ENSMUSG00000047528.9,-,Als2cr12,protein_coding,-0.20999999999999996
chr1,58742856,58742925,chr1-58742856-58742925,0.59,0.5,0.38,chr1,58709508,58760884,ENSMUSG00000026031.11,+,Cflar,protein_coding,-0.20999999999999996
chr1,58856985,58857002,chr1-58856985-58857002,0.48,0.32,0.27,chr1,58848085,58894792,ENSMUSG00000099719.1,-,Gm28802,unprocessed_pseudogene,-0.20999999999999996
chr1,58910019,58910029,chr1-58910019-58910029,0.54,0.43,0.32,chr1,58898449,58975430,ENSMUSG00000026028.8,-,Trak2,protein_coding,-0.22000000000000003
chr1,58937279,58937344,chr1-58937279-58937344,0.72,0.55,0.45,chr1,58898449,58975430,ENSMUSG00000026028.8,-,Trak2,protein_coding,-0.26999999999999996
chr1,58937530,58937545,chr1-58937530-58937545,0.55,0.35,0.29,chr1,58898449,58975430,ENSMUSG00000026028.8,-,Trak2,protein_coding,-0.26000000000000006
chr1,59493266,59493409,chr1-59493266-59493409,0.72,0.61,0.48,chr1,59486480,59494605,ENSMUSG00000097819.1,-,Gm26813,lincRNA,-0.24
chr1,60021076,60021532,chr1-60021076-60021532,0.26,0.47,0.29,chr1,59980490,60045184,ENSMUSG00000026018.8,-,Ica1l,protein_coding,0.02999999999999997
chr1,61793461,61793546,chr1-61793461-61793546,0.57,0.42,0.37,chr1,61765415,61853540,ENSMUSG00000085842.3,-,Pard3bos1,antisense,-0.19999999999999996
chr1,61793461,61793546,chr1-61793461-61793546,0.57,0.42,0.37,chr1,61636824,62644284,ENSMUSG00000052062.10,+,Pard3b,protein_coding,-0.19999999999999996
chr1,63061157,63061216,chr1-63061157-63061216,0.47,0.63,0.42,chr1,62956418,63116667,ENSMUSG00000040865.11,-,Ino80d,protein_coding,-0.04999999999999999
chr1,63165406,63165447,chr1-63165406-63165447,0.75,0.61,0.53,chr1,63141596,63178833,ENSMUSG00000025968.12,-,Ndufs1,protein_coding,-0.21999999999999997
chr1,64040365,64040368,chr1-64040365-64040368,0.59,0.34,0.28,chr1,64027447,64124282,ENSMUSG00000025959.9,-,Klf7,protein_coding,-0.30999999999999994
chr1,64620136,64620360,chr1-64620136-64620360,0.56,0.38,0.34,chr1,64615784,64628033,ENSMUSG00000101832.1,+,Gm28982,lincRNA,-0.22000000000000003
chr1,64621163,64621207,chr1-64621163-64621207,0.43,0.3,0.23,chr1,64615784,64628033,ENSMUSG00000101832.1,+,Gm28982,lincRNA,-0.19999999999999998
chr1,64624001,64624134,chr1-64624001-64624134,0.5,0.41,0.29,chr1,64615784,64628033,ENSMUSG00000101832.1,+,Gm28982,lincRNA,-0.21000000000000002
chr1,64701208,64701277,chr1-64701208-64701277,0.73,0.5,0.4,chr1,64688455,64727644,ENSMUSG00000070871.6,+,Ccnyl1,protein_coding,-0.32999999999999996
chr1,64716986,64717000,chr1-64716986-64717000,0.51,0.4,0.31,chr1,64688455,64727644,ENSMUSG00000070871.6,+,Ccnyl1,protein_coding,-0.2
chr1,64894365,64894498,chr1-64894365-64894498,0.78,0.59,0.46,chr1,64783983,64958824,ENSMUSG00000051344.9,-,Plekhm3,protein_coding,-0.32
chr1,66434947,66435086,chr1-66434947-66435086,0.34,0.22,0.12,chr1,66434082,66438232,ENSMUSG00000065694.1,+,Gm25411,snRNA,-0.22000000000000003
chr1,66434947,66435086,chr1-66434947-66435086,0.34,0.22,0.12,chr1,66173273,66444583,ENSMUSG00000015222.13,+,Map2,protein_coding,-0.22000000000000003
chr1,66586016,66586161,chr1-66586016-66586161,0.7,0.57,0.47,chr1,66466367,66701866,ENSMUSG00000055567.12,+,Unc80,protein_coding,-0.22999999999999998
chr1,67033437,67033596,chr1-67033437-67033596,0.62,0.44,0.38,chr1,66998517,67040872,ENSMUSG00000026000.12,-,Lancl1,protein_coding,-0.24
chr1,69379860,69379935,chr1-69379860-69379935,0.76,0.65,0.54,chr1,69375321,69380071,ENSMUSG00000101387.1,+,Pced1c-ps,processed_pseudogene,-0.21999999999999997
chr1,70078934,70078991,chr1-70078934-70078991,0.78,0.67,0.55,chr1,69824970,70727132,ENSMUSG00000053153.10,+,Spag16,protein_coding,-0.22999999999999998
chr1,70621999,70622138,chr1-70621999-70622138,0.65,0.56,0.43,chr1,69824970,70727132,ENSMUSG00000053153.10,+,Spag16,protein_coding,-0.22000000000000003
chr1,71982586,71982703,chr1-71982586-71982703,0.69,0.8,0.54,chr1,71981681,72040731,ENSMUSG00000101764.1,-,4930556G22Rik,lincRNA,-0.1499999999999999
chr1,71982586,71982703,chr1-71982586-71982703,0.69,0.8,0.54,chr1,71956998,72007195,ENSMUSG00000101848.1,-,4933417E11Rik,lincRNA,-0.1499999999999999
chr1,72336919,72337062,chr1-72336919-72337062,0.84,0.72,0.55,chr1,72305421,72396952,ENSMUSG00000026187.8,+,Xrcc5,protein_coding,-0.2899999999999999
chr1,72365011,72365041,chr1-72365011-72365041,0.74,0.62,0.49,chr1,72305421,72396952,ENSMUSG00000026187.8,+,Xrcc5,protein_coding,-0.25
chr1,72440485,72440567,chr1-72440485-72440567,0.55,0.4,0.31,chr1,72425112,72538930,ENSMUSG00000039372.5,-,March4,protein_coding,-0.24000000000000005
chr1,72449942,72449974,chr1-72449942-72449974,0.38,0.27,0.18,chr1,72425112,72538930,ENSMUSG00000039372.5,-,March4,protein_coding,-0.2
chr1,72518213,72518223,chr1-72518213-72518223,0.58,0.47,0.37,chr1,72425112,72538930,ENSMUSG00000039372.5,-,March4,protein_coding,-0.20999999999999996
chr1,72612280,72612495,chr1-72612280-72612495,0.78,0.64,0.55,chr1,72581251,72635134,ENSMUSG00000039354.12,+,Smarcal1,protein_coding,-0.22999999999999998
chr1,72852084,72852096,chr1-72852084-72852096,0.45,0.66,0.56,chr1,72822503,72854474,ENSMUSG00000039323.14,+,Igfbp2,protein_coding,0.11000000000000004
chr1,73017359,73017562,chr1-73017359-73017562,0.68,0.78,0.57,chr1,73013074,73017909,ENSMUSG00000026182.6,-,Tnp1,protein_coding,-0.1100000000000001
chr1,73017359,73017562,chr1-73017359-73017562,0.68,0.78,0.57,chr1,72982844,73027507,ENSMUSG00000101968.2,+,1700027A15Rik,antisense,-0.1100000000000001
chr1,73827681,73827688,chr1-73827681-73827688,0.51,0.4,0.31,chr1,73616088,73866466,ENSMUSG00000100301.2,-,6030407O03Rik,lincRNA,-0.2
chr1,73827681,73827688,chr1-73827681-73827688,0.51,0.4,0.31,chr1,73748321,73843917,ENSMUSG00000101344.1,-,Gm29183,lincRNA,-0.2
chr1,74030120,74030164,chr1-74030120-74030164,0.54,0.36,0.26,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.28
chr1,74070437,74070515,chr1-74070437-74070515,0.69,0.56,0.45,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.23999999999999994
chr1,74095777,74095985,chr1-74095777-74095985,0.55,0.45,0.34,chr1,73908231,74126449,ENSMUSG00000055322.10,-,Tns1,protein_coding,-0.21000000000000002
chr1,74292933,74292943,chr1-74292933-74292943,0.79,0.65,0.58,chr1,74286247,74307622,ENSMUSG00000006301.13,-,Tmbim1,protein_coding,-0.21000000000000008
chr1,74292933,74292943,chr1-74292933-74292943,0.79,0.65,0.58,chr1,74282930,74355694,ENSMUSG00000026179.10,+,Pnkd,protein_coding,-0.21000000000000008
chr1,74570474,74570520,chr1-74570474-74570520,0.52,0.39,0.29,chr1,74563127,74590246,ENSMUSG00000026135.13,-,Zfp142,protein_coding,-0.23000000000000004
chr1,75133426,75133749,chr1-75133426-75133749,0.44,0.33,0.23,chr1,75123541,75135890,ENSMUSG00000026205.8,-,Slc23a3,protein_coding,-0.21
chr1,75133426,75133749,chr1-75133426-75133749,0.44,0.33,0.23,chr1,75132554,75144711,ENSMUSG00000033159.10,-,Cnppd1,protein_coding,-0.21
chr1,75184496,75184503,chr1-75184496-75184503,0.78,0.66,0.58,chr1,75169731,75187146,ENSMUSG00000099519.1,-,Gm29253,processed_transcript,-0.20000000000000007
chr1,75184496,75184503,chr1-75184496-75184503,0.78,0.66,0.58,chr1,75178860,75194196,ENSMUSG00000033124.11,-,Atg9a,protein_coding,-0.20000000000000007
chr1,75244221,75244383,chr1-75244221-75244383,0.75,0.64,0.5,chr1,75234406,75247692,ENSMUSG00000026203.12,+,Dnajb2,protein_coding,-0.25
chr1,75384281,75384450,chr1-75384281-75384450,0.42,0.31,0.22,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.19999999999999998
chr1,75384869,75384919,chr1-75384869-75384919,0.47,0.34,0.27,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.19999999999999996
chr1,75384944,75384965,chr1-75384944-75384965,0.53,0.39,0.25,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.28
chr1,75385034,75385098,chr1-75385034-75385098,0.58,0.43,0.3,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.27999999999999997
chr1,75385124,75385145,chr1-75385124-75385145,0.75,0.58,0.54,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.20999999999999996
chr1,75385154,75385179,chr1-75385154-75385179,0.52,0.35,0.21,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.31000000000000005
chr1,75401633,75401739,chr1-75401633-75401739,0.74,0.62,0.53,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.20999999999999996
chr1,75408416,75408489,chr1-75408416-75408489,0.58,0.48,0.37,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.20999999999999996
chr1,75427568,75427718,chr1-75427568-75427718,0.66,0.58,0.43,chr1,75373297,75434320,ENSMUSG00000026207.12,+,Speg,protein_coding,-0.23000000000000004
chr1,76509361,76509373,chr1-76509361-76509373,0.22,0.59,0.57,chr1,76507560,76511643,ENSMUSG00000098611.1,+,Mir6343,miRNA,0.35
chr1,76509361,76509373,chr1-76509361-76509373,0.22,0.59,0.57,chr1,76418692,76530422,ENSMUSG00000100827.1,+,Gm29069,lincRNA,0.35
chr1,76958166,76958355,chr1-76958166-76958355,0.79,0.68,0.59,chr1,76888472,77029792,ENSMUSG00000100534.1,-,Gm816,lincRNA,-0.20000000000000007
chr1,77431741,77431816,chr1-77431741-77431816,0.1,0.32,0.18,chr1,77365185,77517088,ENSMUSG00000026235.10,-,Epha4,protein_coding,0.07999999999999999
chr1,78365499,78365619,chr1-78365499-78365619,0.57,0.7,0.79,chr1,78308345,78422289,ENSMUSG00000032908.9,+,Sgpp2,protein_coding,0.22000000000000008
chr1,78478022,78478149,chr1-78478022-78478149,0.51,0.4,0.29,chr1,78415975,78490897,ENSMUSG00000026245.12,-,Farsb,protein_coding,-0.22000000000000003
chr1,78510345,78510357,chr1-78510345-78510357,0.46,0.39,0.68,chr1,78495026,78514158,ENSMUSG00000090486.2,-,BC035947,protein_coding,0.22000000000000003
chr1,78510345,78510357,chr1-78510345-78510357,0.46,0.39,0.68,chr1,78508991,78540173,ENSMUSG00000012187.9,+,Mogat1,protein_coding,0.22000000000000003
chr1,78966392,78966409,chr1-78966392-78966409,0.55,0.66,0.45,chr1,78965637,78970079,ENSMUSG00000072978.3,-,Gm5830,processed_pseudogene,-0.10000000000000003
chr1,78966392,78966409,chr1-78966392-78966409,0.55,0.66,0.45,chr1,78789623,79226511,ENSMUSG00000099706.1,-,Gm29536,lincRNA,-0.10000000000000003
chr1,79144136,79144535,chr1-79144136-79144535,0.79,0.64,0.51,chr1,78789623,79226511,ENSMUSG00000099706.1,-,Gm29536,lincRNA,-0.28
chr1,79432550,79432782,chr1-79432550-79432782,0.66,0.53,0.41,chr1,79432669,79442120,ENSMUSG00000050711.7,-,Scg2,protein_coding,-0.25000000000000006
chr1,79804944,79805002,chr1-79804944-79805002,0.77,0.61,0.53,chr1,79792197,79863180,ENSMUSG00000026249.6,-,Serpine2,protein_coding,-0.24
