chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr18,20961326,20961827,1.1993055128927017,chr18,20940625,20987862,ENSMUSG00000033107.6,+,Rnf125,protein_coding,8.7004170593322,16.7348075252018,19.9930086296164
chr7,3290192,3290693,1.093848939716789,chr7,3285080,3304442,ENSMUSG00000068566.12,+,Myadm,protein_coding,11.2230415490744,20.4595829246249,23.9707532675505
chr7,3290192,3290693,1.093848939716789,chr7,3285179,3335099,ENSMUSG00000078816.9,+,Prkcg,protein_coding,11.2230415490744,20.4595829246249,23.9707532675505
chr11,115151971,115152472,2.097059125440441,chr11,115087431,115166236,ENSMUSG00000020732.13,+,Rab37,protein_coding,1.96410984256679,6.17238330276895,8.41732479562838
chr11,63132788,63133289,0.9651071785596516,chr11,63124982,63163547,ENSMUSG00000018217.12,+,Pmp22,protein_coding,14.173860601651,23.9602314375498,27.6877843056201
chr17,34743738,34744239,1.7932240997879847,chr17,34740753,34751154,ENSMUSG00000092202.1,-,Stk19-ps1,unprocessed_pseudogene,3.04390482710588,7.25032689973667,10.5626252745142
chr17,34743738,34744239,1.7932240997879847,chr17,34724380,34747882,ENSMUSG00000073418.4,-,C4b,protein_coding,3.04390482710588,7.25032689973667,10.5626252745142
chr16,33833637,33834138,1.943095688403704,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,2.35507009558956,7.05466057025408,9.06910879528987
chr3,52101890,52102391,1.052491246254685,chr3,51681907,52109076,ENSMUSG00000061143.15,-,Maml3,protein_coding,10.1711722968941,15.987717903541,21.1103526290361
chr15,98002127,98002628,0.7033182021117781,chr15,97971602,98008695,ENSMUSG00000022483.17,-,Col2a1,protein_coding,25.4031078690274,38.4324246800075,41.3864217385055
chr10,19933934,19934435,1.0157324823826228,chr10,19930472,20146753,ENSMUSG00000071369.11,+,Map3k5,protein_coding,10.5497211133129,17.3822851973078,21.3449948689143
chr9,120345779,120346280,1.303168038567033,chr9,120297513,120478841,ENSMUSG00000041794.13,+,Myrip,protein_coding,5.87991809109648,12.981571568763,14.521747512458
chr4,15265432,15265933,0.7297972642593221,chr4,15261831,15290753,ENSMUSG00000043252.8,+,Tmem64,protein_coding,20.7302019876599,30.1219420314379,34.3992972621344
chr4,124657310,124657811,0.5963447009788714,chr4,124652807,124664655,ENSMUSG00000090125.3,+,Pou3f1,protein_coding,37.3646298960336,52.587994225666,56.5227084506444
chr4,124657310,124657811,0.5963447009788714,chr4,124524924,124661169,ENSMUSG00000098760.1,-,Gm2164,lncRNA,37.3646298960336,52.587994225666,56.5227084506444
chr12,108275290,108275791,0.6548827833298292,chr12,108199602,108279425,ENSMUSG00000084883.2,-,Ccdc85c,protein_coding,29.2258303430278,42.2568120289853,46.0420217360876
chr4,9668914,9669415,0.5765657057781335,chr4,9665279,9673350,ENSMUSG00000092724.1,+,Gm25677,miRNA,36.2879377706455,45.3127643385407,54.1464902118785
chr4,9668914,9669415,0.5765657057781335,chr4,9444069,9673344,ENSMUSG00000028207.18,-,Asph,protein_coding,36.2879377706455,45.3127643385407,54.1464902118785
chr7,19698882,19699383,1.1370234553666756,chr7,19692109,19703188,ENSMUSG00000002985.16,-,Apoe,protein_coding,8.25670820074286,15.1232284841907,18.1717379105623
chr7,19698882,19699383,1.1370234553666756,chr7,19697313,19719438,ENSMUSG00000002984.17,-,Tomm40,protein_coding,8.25670820074286,15.1232284841907,18.1717379105623
chr16,33937537,33938038,2.403377903822057,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,1.13254359010565,3.72833296905006,6.0075862368799
chr4,138454011,138454512,0.6437698315573852,chr4,138450314,138464123,ENSMUSG00000046447.3,+,Camk2n1,protein_coding,29.8401964549207,43.3667737525957,46.6491119757723
chr14,51914483,51914984,1.0250222075405135,chr14,51914425,51924700,ENSMUSG00000008813.13,+,Tppp2,protein_coding,9.32409174867805,16.4893352209418,18.9873990301387
chr14,51914483,51914984,1.0250222075405135,chr14,51901271,51918158,ENSMUSG00000004558.15,-,Ndrg2,protein_coding,9.32409174867805,16.4893352209418,18.9873990301387
chr2,60796840,60797341,1.2221991005853512,chr2,60746193,60967192,ENSMUSG00000026970.16,-,Rbms1,protein_coding,6.11263252741955,10.7225148556459,14.2722073525876
chr18,20746148,20746649,1.0213091361522475,chr18,20680599,20750404,ENSMUSG00000056124.5,-,B4galt6,protein_coding,9.09137731235497,13.6041462534804,18.4659718304095
chr14,51913211,51913712,1.230369596934782,chr14,51901271,51918158,ENSMUSG00000004558.15,-,Ndrg2,protein_coding,5.88612380939842,12.6115843275596,13.8215452728216
chr14,32321746,32322247,1.1679934988006455,chr14,32299662,32321985,ENSMUSG00000115691.1,-,Gm48914,lncRNA,6.73941007591638,14.4330599765612,15.1549091121291
chr14,32321746,32322247,1.1679934988006455,chr14,32318019,32352151,ENSMUSG00000021913.8,+,Ogdhl,protein_coding,6.73941007591638,14.4330599765612,15.1549091121291
chr15,78802652,78803153,1.066113884781432,chr15,78771138,78807042,ENSMUSG00000033170.14,-,Card10,protein_coding,8.54837696093445,16.8948981584148,17.9110243106977
chr6,29396332,29396833,0.9471251354142356,chr6,29393434,29401576,ENSMUSG00000104796.1,-,Gm44354,miRNA,11.511607450115,19.555960239378,22.2090742284655
chr6,29396332,29396833,0.9471251354142356,chr6,29392309,29430994,ENSMUSG00000029769.16,+,Ccdc136,protein_coding,11.511607450115,19.555960239378,22.2090742284655
chr6,29396332,29396833,0.9471251354142356,chr6,29392617,29400705,ENSMUSG00000092956.1,+,Gm26220,miRNA,11.511607450115,19.555960239378,22.2090742284655
chr2,49805962,49806463,0.929477042317216,chr2,49783688,49952849,ENSMUSG00000026765.12,+,Lypd6b,protein_coding,9.38614893169754,16.0481965871993,17.8886774307093
chr2,49805962,49806463,0.929477042317216,chr2,49801976,49816948,ENSMUSG00000085357.1,-,Gm13480,lncRNA,9.38614893169754,16.0481965871993,17.8886774307093
chr6,29435800,29436301,0.7888292811161809,chr6,29429256,29465883,ENSMUSG00000068699.12,+,Flnc,protein_coding,15.020941149867,23.6934137155281,25.9670745465137
chr17,31636996,31637497,1.166087692088973,chr17,31604894,31641238,ENSMUSG00000024039.15,-,Cbs,protein_coding,6.39499271015822,12.7859052392805,14.3615948725412
chr16,33832549,33833050,2.175558526373365,chr16,33825665,33953338,ENSMUSG00000022817.15,+,Itgb5,protein_coding,1.13564644925663,3.40103656337009,5.14350687732867
chr2,49787663,49788164,1.2361407914312246,chr2,49783688,49952849,ENSMUSG00000026765.12,+,Lypd6b,protein_coding,5.19418621873113,11.3237441226015,12.2460902336399
chr8,99416277,99416778,1.5566799976515413,chr8,99020471,99420471,ENSMUSG00000036510.17,-,Cdh8,protein_coding,2.78326465842403,4.93790664221516,8.19758047574251
chr8,99416277,99416778,1.5566799976515413,chr8,99393213,99510770,ENSMUSG00000090116.1,-,Gm15680,lncRNA,2.78326465842403,4.93790664221516,8.19758047574251
chr8,99416277,99416778,1.5566799976515413,chr8,99412642,99737438,ENSMUSG00000052479.5,+,A330008L17Rik,lncRNA,2.78326465842403,4.93790664221516,8.19758047574251
chr15,101223908,101224409,0.923264117508948,chr15,101217195,101229186,ENSMUSG00000097915.2,-,A330009N23Rik,lncRNA,11.2168358307724,19.2749122388485,21.2854031889452
chr15,101223908,101224409,0.923264117508948,chr15,101217247,101226155,ENSMUSG00000115944.1,+,AU021063,lncRNA,11.2168358307724,19.2749122388485,21.2854031889452
chr15,101223908,101224409,0.923264117508948,chr15,101220188,101236756,ENSMUSG00000000531.5,+,Grasp,protein_coding,11.2168358307724,19.2749122388485,21.2854031889452
chr3,96557574,96558075,0.583614343836378,chr3,96553957,96565883,ENSMUSG00000038393.14,+,Txnip,protein_coding,27.7923094152776,37.7209107546162,41.6732066983566
chr3,96557574,96558075,0.583614343836378,chr3,96551765,96570801,ENSMUSG00000074398.5,-,Gm15441,lncRNA,27.7923094152776,37.7209107546162,41.6732066983566
chr4,150087048,150087549,0.8801351889584828,chr4,150083365,150109927,ENSMUSG00000047875.6,+,Gpr157,protein_coding,12.4734937869171,19.7338387207259,22.972592628069
chr15,102010599,102011100,0.8793057468613205,chr15,102000212,102013442,ENSMUSG00000116010.1,+,Gm36026,lncRNA,10.5217953809542,18.3535017054669,19.3672959899414
chr14,121035244,121035745,0.7301438723062815,chr14,121031200,121287744,ENSMUSG00000025555.14,+,Farp1,protein_coding,17.2177654287569,25.5433499215453,28.5779350251578
chr2,60881183,60881684,1.088216541587519,chr2,60746193,60967192,ENSMUSG00000026970.16,-,Rbms1,protein_coding,6.76733580827515,10.551751513552,14.3988396725218
chr2,164436467,164436968,1.4740637435010278,chr2,164420247,164447887,ENSMUSG00000017009.3,-,Sdc4,protein_coding,3.27041354512701,7.83021074893052,9.09518015527633
chr4,134081676,134082177,1.211914511923627,chr4,134056815,134096504,ENSMUSG00000012123.17,+,Crybg2,protein_coding,4.9800889373139,10.9964477169215,11.5458879940035
chr4,134081676,134082177,1.211914511923627,chr4,134078448,134099082,ENSMUSG00000000682.7,-,Cd52,protein_coding,4.9800889373139,10.9964477169215,11.5458879940035
chr12,15816712,15817213,0.5102519823683688,chr12,15787727,15820922,ENSMUSG00000020601.8,-,Trib2,protein_coding,36.58891510829,46.2092718845336,52.1427199729192
chr12,15816712,15817213,0.5102519823683688,chr12,15813003,15892155,ENSMUSG00000097580.1,+,Gm5432,lncRNA,36.58891510829,46.2092718845336,52.1427199729192
chr6,30737773,30738274,1.2342843656751772,chr6,30737299,30745396,ENSMUSG00000065501.1,+,Mir335,miRNA,4.4588085999502,8.90459677627128,10.4993091145471
chr6,30737773,30738274,1.2342843656751772,chr6,30719547,30752465,ENSMUSG00000051855.15,+,Mest,protein_coding,4.4588085999502,8.90459677627128,10.4993091145471
chr6,30737773,30738274,1.2342843656751772,chr6,30730418,30738647,ENSMUSG00000098260.1,+,Gm27522,misc_RNA,4.4588085999502,8.90459677627128,10.4993091145471
chr6,30737773,30738274,1.2342843656751772,chr6,30731029,30739924,ENSMUSG00000107825.1,-,Gm44296,lncRNA,4.4588085999502,8.90459677627128,10.4993091145471
chr6,30737773,30738274,1.2342843656751772,chr6,30731964,30740062,ENSMUSG00000099073.1,+,Gm27568,misc_RNA,4.4588085999502,8.90459677627128,10.4993091145471
chr13,56522166,56522667,0.8114417669959905,chr13,56518472,56541898,ENSMUSG00000035509.17,+,Fbxl21,protein_coding,13.0289055749415,20.4916010512675,22.8794806281173
chr9,64022785,64023286,0.9191204781751268,chr9,63949076,64026059,ENSMUSG00000036867.7,-,Smad6,protein_coding,9.99120646613755,16.7063469681862,18.9054604701813
chr7,144635970,144636471,0.8331650848388864,chr7,144584549,144755974,ENSMUSG00000031075.18,-,Ano1,protein_coding,11.6202075203991,20.2425711773806,20.7155577492412
chr9,120304007,120304508,1.0805020592110126,chr9,120297513,120478841,ENSMUSG00000041794.13,+,Myrip,protein_coding,4.91492889514344,9.63034098017034,10.4024726345974
chr12,29937751,29938252,1.206986803619032,chr12,29933608,30021658,ENSMUSG00000020674.17,+,Pxdn,protein_coding,4.87459172618077,9.88648599331118,11.2628275141505
chr1,37025920,37026421,1.3278468761486797,chr1,37022596,37191613,ENSMUSG00000050122.19,+,Vwa3b,protein_coding,3.65516807984784,8.56307009208349,9.1845676752299
chr14,51913932,51914433,0.99651104170705,chr14,51914425,51924700,ENSMUSG00000008813.13,+,Tppp2,protein_coding,6.34224410459166,12.0779488835162,12.6632319934232
chr14,51913932,51914433,0.99651104170705,chr14,51901271,51918158,ENSMUSG00000004558.15,-,Ndrg2,protein_coding,6.34224410459166,12.0779488835162,12.6632319934232
chr4,148130535,148131036,0.933538714351116,chr4,148126384,148149699,ENSMUSG00000029003.11,+,Mad2l2,protein_coding,8.89589718584359,15.9806027642871,17.0022511911697
chr4,148130535,148131036,0.933538714351116,chr4,148094437,148134698,ENSMUSG00000029005.4,-,Draxin,protein_coding,8.89589718584359,15.9806027642871,17.0022511911697
chr6,60828674,60829175,1.045217325590613,chr6,60727575,60833855,ENSMUSG00000025889.13,-,Snca,protein_coding,6.00713531628643,10.3809881714581,12.4062428735567
chr11,53763488,53763989,0.8617355755190693,chr11,53759597,53767654,ENSMUSG00000099153.1,-,Mir7671,miRNA,10.6179840146344,18.4033076802442,19.3077043099724
chr2,164443007,164443508,1.1829973646723757,chr2,164420247,164447887,ENSMUSG00000017009.3,-,Sdc4,protein_coding,4.96457464155903,9.78687404375641,11.2814499141409
chr1,37037501,37038002,1.522955587620258,chr1,37022596,37191613,ENSMUSG00000050122.19,+,Vwa3b,protein_coding,2.59399025021459,6.71669145569324,7.46385791612357
chr3,108017807,108018308,0.6955442910377315,chr3,108008255,108021973,ENSMUSG00000058135.12,-,Gstm1,protein_coding,17.0657253303592,24.9705812116053,27.6542639856375
chr3,108017807,108018308,0.6955442910377315,chr3,108014294,108029249,ENSMUSG00000087357.1,-,Gm12498,lncRNA,17.0657253303592,24.9705812116053,27.6542639856375
chr3,108017807,108018308,0.6955442910377315,chr3,108015885,108024328,ENSMUSG00000083627.1,+,Gm12502,processed_pseudogene,17.0657253303592,24.9705812116053,27.6542639856375
chr13,73466975,73467476,0.8817599281865129,chr13,73463197,73520422,ENSMUSG00000021608.15,+,Lpcat1,protein_coding,9.49785186113262,14.4045994195455,17.5125049509047
chr1,62703060,62703561,0.7602492452517107,chr1,62699285,62822695,ENSMUSG00000025969.15,+,Nrp2,protein_coding,13.4974373067386,19.9223899109545,22.8757561481192
chr7,19693451,19693952,0.7109665329814615,chr7,19685481,19696660,ENSMUSG00000040564.14,-,Apoc1,protein_coding,15.3560499381723,23.3127537654438,25.1514134269374
chr7,19693451,19693952,0.7109665329814615,chr7,19692109,19703188,ENSMUSG00000002985.16,-,Apoe,protein_coding,15.3560499381723,23.3127537654438,25.1514134269374
chr7,130935884,130936385,0.6048184452958675,chr7,130932111,130989660,ENSMUSG00000006205.13,+,Htra1,protein_coding,20.0289558195397,28.6668960540128,30.4774198241712
chr7,130935884,130936385,0.6048184452958675,chr7,130158451,133127350,ENSMUSG00000030849.18,-,Fgfr2,protein_coding,20.0289558195397,28.6668960540128,30.4774198241712
chr19,40271326,40271827,0.7195381253499058,chr19,40217173,40275842,ENSMUSG00000055044.12,-,Pdlim1,protein_coding,13.9132204329692,21.0110062168031,22.9241743880941
chr6,5725527,5726028,0.8993254394383501,chr6,5721639,6032039,ENSMUSG00000029757.16,+,Dync1i1,protein_coding,8.44287974980132,12.6400448845753,15.7582748718158
chr11,110078978,110079479,1.4409901200868318,chr11,110021634,110099978,ENSMUSG00000041828.15,-,Abca8a,protein_coding,2.59088739106362,6.5494856832263,7.04299167634215
chr8,119861950,119862451,0.6361153652565924,chr8,119858266,119880995,ENSMUSG00000031828.9,+,Klhl36,protein_coding,19.1942867079276,27.5213586341329,29.8479827044982
chr13,19622838,19623339,0.9762630763284946,chr13,19587706,19623927,ENSMUSG00000002808.7,-,Epdr1,protein_coding,6.3732726961014,11.3166289833476,12.5477731134832
chr13,19622838,19623339,0.9762630763284946,chr13,19619104,19636994,ENSMUSG00000021319.7,+,Sfrp4,protein_coding,6.3732726961014,11.3166289833476,12.5477731134832
chr3,144205304,144205805,0.5471018728450004,chr3,144184530,144209220,ENSMUSG00000028266.17,-,Lmo4,protein_coding,21.4376538740821,26.2513062773095,31.3414991837225
chr8,125917178,125917679,1.117976947477757,chr8,125906450,125951440,ENSMUSG00000031853.5,+,Map3k21,protein_coding,4.93975176835123,9.49159576471905,10.7302268744271
chr11,115153843,115154344,0.9178906857093556,chr11,115087431,115166236,ENSMUSG00000020732.13,+,Rab37,protein_coding,8.09846238404317,14.5433446349968,15.3113372720479
chr4,124626753,124627254,1.48921132974432,chr4,124524924,124661169,ENSMUSG00000098760.1,-,Gm2164,lncRNA,2.29611577172105,5.90200801112028,6.45452383664778
chr12,112929589,112930090,1.5818985526623617,chr12,112903819,112933776,ENSMUSG00000002799.6,-,Jag2,protein_coding,2.00134415237848,5.56048132693249,6.00013727688377
chr4,86874078,86874579,0.5389248391853886,chr4,86870396,86938822,ENSMUSG00000038007.14,+,Acer2,protein_coding,25.6358223053504,33.4198090756262,37.2671468606449
chr12,109066917,109067418,1.1432622536489374,chr12,109028187,109072217,ENSMUSG00000040867.12,-,Begain,protein_coding,4.62636299410282,8.2215434078957,10.2274220746883
chr6,31216240,31216741,0.471445608764848,chr6,31078565,31224488,ENSMUSG00000044471.12,-,Lncpint,lncRNA,31.3202602699355,40.3819728355794,43.4497836574339
chr6,31216240,31216741,0.471445608764848,chr6,31216351,31341404,ENSMUSG00000087380.7,+,2210408F21Rik,lncRNA,31.3202602699355,40.3819728355794,43.4497836574339
chr9,111438819,111439320,1.315667824630013,chr9,111435081,111493118,ENSMUSG00000032500.10,+,Dclk3,protein_coding,3.35419074220332,7.20052092495928,8.35773311565933
chr13,45389408,45389909,0.5221688445856888,chr13,45385742,45416022,ENSMUSG00000038175.10,+,Mylip,protein_coding,27.5968292887663,34.006808064074,39.654538539405
chr8,4493185,4493686,1.08869236415085,chr8,4489026,4535680,ENSMUSG00000008206.16,+,Cers4,protein_coding,4.99560323306877,9.04334199172257,10.6333903944774
chr1,132298335,132298836,0.9122746610781,chr1,132294626,132311357,ENSMUSG00000042115.4,+,Klhdc8a,protein_coding,8.4583940455562,13.799812582963,15.9296009517268
chr1,93184103,93184604,0.7269667188453627,chr1,93164725,93235072,ENSMUSG00000084989.3,+,Crocc2,protein_coding,12.8117054343733,19.883256645058,21.21836254898
chr10,120428294,120428795,0.7167351415570857,chr10,120357275,120480469,ENSMUSG00000056758.14,-,Hmga2,protein_coding,13.2585171521136,17.6704483370913,21.8031059086763
chr14,47911798,47912299,0.8590244376370605,chr14,47894851,47948189,ENSMUSG00000115609.1,+,4930447J18Rik,lncRNA,8.2039595951763,12.2807303522527,14.8904710322665
chr18,20963474,20963975,1.599315441001533,chr18,20940625,20987862,ENSMUSG00000033107.6,+,Rnf125,protein_coding,1.75001256114956,3.88486603263613,5.31110847724162
chr1,37122231,37122732,1.84975587703544,chr1,37022596,37191613,ENSMUSG00000050122.19,+,Vwa3b,protein_coding,1.39008089963653,4.08408993174568,5.0205990373925
chr8,99415021,99415522,1.391450874743036,chr8,99020471,99420471,ENSMUSG00000036510.17,-,Cdh8,protein_coding,2.10684136351161,3.7496783868118,5.53457727712556
chr8,99415021,99415522,1.391450874743036,chr8,99393213,99510770,ENSMUSG00000090116.1,-,Gm15680,lncRNA,2.10684136351161,3.7496783868118,5.53457727712556
chr8,99415021,99415522,1.391450874743036,chr8,99412642,99737438,ENSMUSG00000052479.5,+,A330008L17Rik,lncRNA,2.10684136351161,3.7496783868118,5.53457727712556
chr1,89070030,89070531,0.4473968304874853,chr1,89066415,89159068,ENSMUSG00000036206.12,+,Sh3bp4,protein_coding,36.9953896570677,44.313087273366,50.4741529337857
chr7,128523286,128523787,0.8133020043318324,chr7,128519616,128550981,ENSMUSG00000030847.8,+,Bag3,protein_coding,9.89812069160831,15.7173426118923,17.4044950309608
chr15,101228025,101228526,0.8902409661694909,chr15,101217195,101229186,ENSMUSG00000097915.2,-,A330009N23Rik,lncRNA,7.72301642677526,12.906862606597,14.3243500725605
chr15,101228025,101228526,0.8902409661694909,chr15,101220188,101236756,ENSMUSG00000000531.5,+,Grasp,protein_coding,7.72301642677526,12.906862606597,14.3243500725605
chr3,36475576,36476077,0.5247160998116447,chr3,36471461,36479524,ENSMUSG00000098808.1,-,Mir7009,miRNA,27.6619893309367,35.0349456862643,39.8184156593199
chr3,36475576,36476077,0.5247160998116447,chr3,36471937,36486299,ENSMUSG00000027713.6,+,1810062G17Rik,protein_coding,27.6619893309367,35.0349456862643,39.8184156593199
chr3,36475576,36476077,0.5247160998116447,chr3,36444923,36479894,ENSMUSG00000027712.13,-,Anxa5,protein_coding,27.6619893309367,35.0349456862643,39.8184156593199
chr12,4038652,4039153,0.6243849987554325,chr12,3958554,4042915,ENSMUSG00000020658.10,-,Efr3b,protein_coding,20.1840987770884,28.3182542305711,31.1329283038308
chr8,120228158,120228659,0.7014402502370894,chr8,120200434,120232230,ENSMUSG00000097960.1,-,A330074K22Rik,lncRNA,14.3910607422192,21.5410840912196,23.4158057478388
chr8,120228158,120228659,0.7014402502370894,chr8,120224456,120585390,ENSMUSG00000031822.20,+,Gse1,protein_coding,14.3910607422192,21.5410840912196,23.4158057478388
chr8,120228158,120228659,0.7014402502370894,chr8,119906841,124349722,ENSMUSG00000092329.1,+,Gm20388,protein_coding,14.3910607422192,21.5410840912196,23.4158057478388
chr9,42549618,42550119,0.9565497511026392,chr9,42514135,42948493,ENSMUSG00000032017.14,-,Grik4,protein_coding,6.43222701996992,12.170445693817,12.4919059135122
chr1,119420937,119421438,1.1102517181831473,chr1,119411465,119426248,ENSMUSG00000037035.5,-,Inhbb,protein_coding,4.99560323306877,9.29237186560951,10.7935430343943
chr6,61180143,61180644,0.5225449176482342,chr6,61168293,61184810,ENSMUSG00000097924.2,-,A730020E08Rik,lncRNA,25.6668508968602,32.544646947395,36.8909743808403
chr6,61180143,61180644,0.5225449176482342,chr6,61176324,62386865,ENSMUSG00000039578.17,+,Ccser1,protein_coding,25.6668508968602,32.544646947395,36.8909743808403
chr10,19937196,19937697,1.2777597712185276,chr10,19930472,20146753,ENSMUSG00000071369.11,+,Map3k5,protein_coding,3.23938495361727,6.0300805176907,7.8623772759166
chr14,17917181,17917682,0.7443852224408192,chr14,17656261,18042090,ENSMUSG00000021779.17,+,Thrb,protein_coding,10.9158584931279,15.5501368394254,18.2983702304966
chr7,19824117,19824618,0.6699771807180758,chr7,19804462,19826770,ENSMUSG00000053175.17,-,Bcl3,protein_coding,15.272272741096,22.2205798899682,24.3134054273726
chr2,172345234,172345735,0.3923351603767318,chr2,172341565,172359749,ENSMUSG00000027495.4,+,Fam210b,protein_coding,48.3611627270869,56.6222781826343,63.5098329270155
chr7,19669186,19669687,0.7065596763911243,chr7,19667579,19681941,ENSMUSG00000002992.17,-,Apoc2,protein_coding,12.2780136604057,18.5740710223381,20.0488758295874
chr7,19669186,19669687,0.7065596763911243,chr7,19667584,19685423,ENSMUSG00000109350.1,-,Gm44805,protein_coding,12.2780136604057,18.5740710223381,20.0488758295874
chr11,95587420,95587921,0.8055832921269572,chr11,95564818,95591735,ENSMUSG00000000120.6,-,Ngfr,protein_coding,9.93845786057098,17.0016252472235,17.3821481509724
chr11,53770185,53770686,1.1604088492803764,chr11,53766014,53782374,ENSMUSG00000018899.16,+,Irf1,protein_coding,4.19196271296641,7.79819262228792,9.37824063512932
chr11,53770185,53770686,1.1604088492803764,chr11,53766051,53777195,ENSMUSG00000091191.2,-,Gm17334,TEC,4.19196271296641,7.79819262228792,9.37824063512932
chr5,107288860,107289361,1.0702968312466792,chr5,107102570,107293629,ENSMUSG00000029287.14,-,Tgfbr3,protein_coding,4.42157429013851,8.68046988977305,9.29257759517381
chr14,32326345,32326846,1.6466709783885929,chr14,32318019,32352151,ENSMUSG00000021913.8,+,Ogdhl,protein_coding,1.61969247680863,3.85996304524744,5.08019071736155
chr17,44188341,44188842,1.4929127772811102,chr17,44184584,44284172,ENSMUSG00000023959.9,+,Clic5,protein_coding,1.94238982850997,4.03784152659525,5.47498559715651
chr19,4942852,4943353,0.6673357995016976,chr19,4925717,4947127,ENSMUSG00000024901.15,-,Peli3,protein_coding,15.2908898960018,22.238367738103,24.2985075073803
chr16,15886954,15887455,0.6735258286334352,chr16,15883286,15895031,ENSMUSG00000071637.5,+,Cebpd,protein_coding,13.9907919117435,19.6057662141554,22.3282575884036
chr16,15886954,15887455,0.6735258286334352,chr16,15885224,16150851,ENSMUSG00000041974.10,-,Spidr,protein_coding,13.9907919117435,19.6057662141554,22.3282575884036
chr12,33057278,33057779,1.0105453628218133,chr12,33029796,33096875,ENSMUSG00000035860.9,-,Cdhr3,protein_coding,5.05766041608826,9.56986229651209,10.1976262347038
chr5,101764826,101765327,0.7102644446667904,chr5,101761130,101827858,ENSMUSG00000029330.8,+,Cds1,protein_coding,13.686711714948,19.5346148216163,22.406471668363
chr17,84187810,84188311,0.4062528015618907,chr17,84179931,84191947,ENSMUSG00000045817.8,-,Zfp36l2,protein_coding,41.562798327302,49.8628958914176,55.1111305313775
chr17,84187810,84188311,0.4062528015618907,chr17,84181756,84220056,ENSMUSG00000117393.1,+,Gm36279,lncRNA,41.562798327302,49.8628958914176,55.1111305313775
chr17,84187810,84188311,0.4062528015618907,chr17,84186076,84470205,ENSMUSG00000024251.10,-,Thada,protein_coding,41.562798327302,49.8628958914176,55.1111305313775
chr19,4615602,4616103,0.6682792100761223,chr19,4607785,4619667,ENSMUSG00000045045.7,-,Lrfn4,protein_coding,14.0745691088198,20.7833217606779,22.3804003083765
chr19,4615602,4616103,0.6682792100761223,chr19,4506472,4625752,ENSMUSG00000024892.17,+,Pcx,protein_coding,14.0745691088198,20.7833217606779,22.3804003083765
chr2,49840588,49841089,1.7140574981441234,chr2,49783688,49952849,ENSMUSG00000026765.12,+,Lypd6b,protein_coding,1.31871513916412,3.44728496852052,4.33529471774842
