,DEG,pred
Arl6ip1,1,1
Nxf1,1,1
Zmiz1os1,1,1
Tsga10,1,1
Tpt1,1,1
Pja2,1,1
Zfhx3,1,2
Epha3,1,1
Dlgap3,1,1
5031425E22Rik,1,1
Rgl2,1,1
Med4,1,1
Haus3,1,1
Cops2,1,1
Nhs,1,1
Ero1l,1,1
Plcxd3,1,1
Usp48,1,1
Alkbh3,1,1
Gldc,1,1
Plekha5,1,1
Tuba1a,1,1
Col4a3bp,1,1
Gprasp1,1,1
Gm12216,1,1
Stub1,1,1
Xrcc4,1,1
Gaa,1,1
Slit2,1,1
Gramd1c,1,1
Tmem126a,1,1
Aar2,1,1
Snrnp27,1,1
Nfe2l1,1,1
Hnrnpc,1,1
Neat1,1,1
Wwtr1,1,1
Thoc1,1,1
Amy1,1,1
Ptprk,1,1
Ccdc28b,1,1
Usp3,1,1
Med27,1,1
Spopl,1,1
Rbfox2,1,1
Rps28,1,1
Fbxo11,1,1
Gna12,1,1
Eps15,1,1
Tssc4,1,1
Cdadc1,1,1
Dlx1as,1,1
Mbd2,1,1
Abl2,1,1
Rnasek,1,1
Zfp804b,1,1
Gcnt2,1,1
Kdm6a,1,1
Dcp1a,1,1
Ncor2,1,1
Padi2,1,1
Vps52,1,1
Ext2,1,1
Fam120a,1,1
Tsc1,1,1
Stx1b,1,1
Prrx1,1,1
Gpt2,1,1
Nav1,1,1
Pigm,1,1
Atp6v0e,1,1
Tob2,1,1
Ehmt2,1,1
Unc50,1,1
Pola1,1,2
Ube2n,1,1
2310057M21Rik,1,1
Cers5,1,1
Mrps16,1,1
Vgll4,1,1
Rnf113a2,1,1
Mid1ip1,1,1
Atp11c,1,1
Snx13,1,1
Iqcb1,1,1
Megf10,1,1
Me1,1,1
Lgi1,1,1
Scamp5,1,1
Tpgs2,1,1
Pfkm,1,1
Ap1s2,1,1
Mid2,1,1
Prkcsh,1,1
Fam169a,1,1
Pcca,1,1
Chd6,1,1
Hipk2,1,1
Atg12,1,1
Csnk1g2,1,1
Rpl9,1,1
Vps9d1,1,1
Sccpdh,1,1
Ubxn7,1,1
Scg5,1,1
Wwc1,1,1
Pcm1,1,1
Gpld1,1,1
Cox5a,1,1
Auts2,1,2
Cycs,1,1
Commd4,1,1
Smpd3,1,1
Mapk8ip1,1,1
Ddn,1,1
Zfp275,1,1
Ifnar1,1,1
Tln1,1,1
Dpm3,1,1
Sorcs3,1,1
Cog5,1,1
Appbp2,1,1
Cd46,1,1
Vps35,1,1
