gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac
Wipi1,38636.0,0.0,0.0,0.9999999999639329,0.0,0.0706377368938403,-0.0081445365538714,0.2422117841109438,14.03454106982386
Abhd14b,5464.0,2.0,-0.0726808148090714,0.2995602818582137,0.2164123902956056,0.0826295310650759,0.0781732753767154,0.3715776027555306,11.328113894833711
Slc22a15,68677.0,0.0,0.0,0.0,0.0,0.1366512430139485,0.0509643290657736,0.603463008775779,14.88393195853892
2310009B15Rik,4869.0,0.0,0.5819318838291528,1.5849625006249766,0.0,-0.2226325904988275,-0.1955000803258011,-0.1955000803258011,11.129283016945031
Nrg1,1069703.0,0.0,0.0,0.0,-0.035144420382617,-0.1360933097645428,-0.1820135659237619,0.0517345428747716,15.632200042185136
Plagl1,71190.0,0.0,0.0,1.3219280948440812,0.0,-0.1159987712658813,0.0663212114849804,0.2666303367176028,14.990281275360326
Mtcp1,6144.0,6.0,-0.1572571325351148,0.9999999999759548,-0.2442337595605339,-0.2442337595605339,-0.3041776517341295,-0.3041776517341295,11.117643101389158
Gigyf2,123798.0,0.0,0.0,0.4150374992668215,0.0,0.0448825512835169,0.0737361957411087,0.4667720421141221,15.96104265806678
Fam193a,116523.0,0.0,0.0,0.8479969065421264,0.0,0.1100716076999857,0.1394442622643703,0.5119305032171614,15.36942694989726
Zfp558,22693.0,0.0,0.0,1.5849625006249766,0.0,-0.2270339792030999,-0.2024051633526417,-0.1335679232951869,12.842743180731675
Rpl39,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mgat5,283321.0,1.0,0.0707548438925934,0.2995602818568268,0.0,-0.1138583381972997,-0.0348238497193035,0.5048547382715725,17.11859641296885
Fastkd1,26701.0,0.0,0.0,0.5849625006971113,0.0,-0.1058326696461542,-0.0425429501631112,-0.0295489487624833,11.415741768290143
Pdik1l,12893.0,0.0,0.0,1.9999999999639324,0.0,0.0534044844711968,-0.0214871644673878,0.0748255562590372,11.698270577692076
Prelid1,4772.0,3.0,0.0087298490969301,1.7004397181161224,0.0,0.1857324246454731,0.1584077178018661,0.198901990295172,11.18363538147328
Pip5k1a,48400.0,0.0,0.0,0.3479233034174966,0.0,-0.0300896864548005,0.0184119510921481,0.0651591261908075,11.441388029346738
Trim9,103081.0,2.0,-0.0179153223421584,0.459431618632379,-0.4027158810557114,0.0136522796621718,-0.0614019653320566,0.7862912283306644,15.650238375912195
Zscan29,12852.0,1.0,0.0,0.7369655941565885,0.0,0.0727780533900902,0.2212030717713773,0.301712795878176,11.406736482691777
A930005H10Rik,6549.0,1.0,0.1343672842374522,0.1520030934434468,0.0,-0.0435204614694132,-0.0009548763581211,0.0183055462847567,11.449148645375487
Smim20,11457.0,1.0,-0.0186147742891647,0.9999999999855732,0.0,0.0898051207558994,0.0023038344500014,0.2796864894885806,13.302638923787567
Lemd2,14869.0,0.0,0.0620083692164748,0.8624964762441629,0.0,0.2591727129723628,0.2966441745467466,0.7167502951120799,12.841760886800566
Ngdn,8683.0,4.0,-0.1030827933297726,0.5145731728235754,0.0,0.0477933560928471,0.0209130983818033,0.247686914193228,11.03411114609666
BC065397,61540.0,1.0,-0.1121474441493838,0.3719687773850291,0.0,0.0,0.0,0.0,0.0
Ngrn,4159.0,0.0,0.0315729457666402,0.4854268271661199,0.0,0.1580242924170216,0.1231143433269503,0.2313234679774988,11.199672344836426
Tsc2,36814.0,1.0,0.0838365426335063,0.3870231231066356,0.0,0.3380210474052333,0.2851978096572057,0.4754109604063757,12.55506839133336
Rnf220,225589.0,0.0,0.0,0.6520766965721987,-0.0336194185957324,0.1603367804739774,0.1236443032792171,0.8162859686610353,16.758014958495274
Isca1,14401.0,2.0,-0.0200258932900551,0.5849625007091332,0.0,-0.0462385495807346,-0.0138459399656759,0.0482553482033352,11.386940245324364
Mrps25,14508.0,0.0,0.0,-0.0671141958582248,0.0,0.1245388974870515,0.0626877432520477,0.154155607466045,12.92536899157447
Rplp0,4260.0,2.0,-0.1584194283738526,0.2630344058289848,0.0,0.1885786443298964,0.1635381921012879,0.7167502951120799,10.737247343027825
Chic2,46786.0,0.0,0.0,0.2410080995031229,0.0,-0.0739300060138211,-0.1417999604170585,0.2141203964585667,14.185107717079832
Crem,71700.0,2.0,-0.2203316504550362,0.9999999999278651,0.0,-0.0438890138529525,-0.0358708817232507,0.0300135289228156,14.096056239180957
Dhx16,12851.0,1.0,-0.0227004938913491,1.5305147166882986,0.0,-0.1600303397812216,-0.231859209730718,-0.1743426118450486,11.192909219112074
Vangl2,27484.0,0.0,0.0,1.0995356735399224,0.0311334820049657,-0.0407383899809944,0.0443428856493781,0.3385978639986233,13.72898336998806
Sptbn1,168780.0,0.0,-0.001706273957699,0.999999999981966,0.0,-0.014580769541257,-0.120896242188309,0.1518890004828909,16.272684453568736
Akr1b10,12732.0,0.0,-0.1871140739736895,1.584962500673066,0.0,-0.025817277100997,0.1321716542604523,0.2634198404643437,11.418379719365008
Eid2,1391.0,4.0,-0.011166080728091,0.6520766965778195,0.0,0.037473101514232,-0.0140498309083374,0.0044626747140337,11.160501747555749
Acsl1,65014.0,2.0,-0.0258213370193675,0.5849625006971113,0.0,0.0165064871434371,0.0292815889717215,0.312439202454479,15.066677856799553
Qtrt1,8437.0,2.0,-0.053881345262563,0.2895066171920701,0.0,0.1142635288400059,-0.1394299725461617,-0.1150012811992056,11.124121311829253
Pi4k2a,31617.0,2.0,-0.0786228358964409,0.6374299206095668,0.0,-0.0042098599397695,0.0368590405428295,0.089629577497956,11.103943429891622
Slc38a6,67270.0,0.0,0.0,0.0,0.0,0.0943148769107124,-0.0541487537110739,0.5501787287755389,14.935487372675633
Phb2,4614.0,0.0,0.0,0.0,0.0,0.0248754115051448,0.0657193330799149,0.3038204588431394,11.044394119358522
Tgfbr1,61709.0,1.0,-0.0108787158990042,0.5145731728235754,0.0,0.0379916029533783,0.1843452801060301,0.5606310931780815,14.003605750097062
Enoph1,28775.0,2.0,0.0103349426700497,0.0,0.0,-0.1158369511593533,-0.0641615618490173,0.4372277665280417,13.560093957642508
Vps26b,22294.0,0.0,0.0,0.3219280948801484,0.0,0.0497590615238417,-0.1101088584165344,-0.0816158436591878,11.628445540137228
Chtop,10542.0,3.0,-0.0434651065966104,0.7004397181376243,0.0,-0.0683630692394079,-0.0725096080055642,-0.031943274588353,11.394998514501726
Mettl7a1,24522.0,0.0,0.0,0.6780719051018176,0.0,0.2711048184090622,0.1940330453541081,0.2313234679873064,11.126704472843254
Cpeb3,187310.0,0.0,0.0,1.1292830169400716,0.0,0.0339348102068316,0.0723681847181979,1.586166184923945,16.5408847947397
Edf1,4235.0,2.0,0.0,0.5305147166938475,0.0,0.1502529511715925,0.0701899294803726,0.1466610709208209,11.121533517340096
Wtap,27373.0,2.0,-0.0766830211181701,1.321928094876542,0.0,-0.1243190503608351,-0.0723978581421023,-0.0054928882869944,11.521109643651382
Upp2,225673.0,0.0,0.0,0.0,0.0,-0.1319098816578263,-0.0439369203875762,0.5575517002350955,16.801417871113046
Elmod1,63844.0,0.0,0.0,0.5849625006971113,0.0,0.1349355815571826,0.0618059045884339,0.3757133772283134,14.590645523723577
Lrig2,115500.0,0.0,0.0,0.2630344058289848,-0.1326379879613592,-0.1510174050130722,-0.3161941425186521,-0.1604129319194105,11.894817763307982
Gon4l,74872.0,0.0,0.0,-0.2630344058289848,0.0,0.4863005841406697,0.1529423891103092,0.2771904767434985,11.10983065427886
Tor2a,5010.0,3.0,0.0118545168324307,-0.1154772174194738,0.0,0.1422639302768362,0.1378118550439129,0.1855942381360473,11.120885842787857
Rpl32,3242.0,3.0,0.017232631499351,0.4694852832981371,0.0,-0.0105346175521817,-0.0009888805757002,0.0951277204697715,11.528454110764836
Lysmd4,84786.0,0.0,0.0,0.9999999999278651,0.0,-0.1004691824913373,-0.0258625309977385,0.1448777938783736,11.075479149488084
4933423P22Rik,9189.0,6.0,0.0016559393878489,1.2223924213272874,0.0,0.0061707885415025,-0.0625703221233264,-0.0073340077044387,12.495355392236007
Jakmip1,62980.5,0.0,0.0,0.999999999981966,0.5285067403548732,0.3150860495979305,0.4326284182052808,1.2462738093447894,15.85788382758816
P4htm,18805.0,1.0,-0.0763056483862199,-0.8073549220524514,0.0,0.0074191145400438,-0.0421694363452869,0.2100468083537512,13.4459201271752
Map1a,21232.0,0.0,0.0,0.9385994553301068,0.0,0.1143614392988234,0.1198217214825425,0.5275942032847092,13.353146825498095
Pitpnm1,13967.0,1.0,0.098841112097513,0.6918777046334399,0.0,0.2719497478322252,0.2868179397403577,0.5086614118422104,11.492854620174798
Cul4b,42922.0,0.0,0.0,0.3219280948837557,0.0,0.0,0.0,0.0,0.0
St7,250092.0,0.0,0.0,0.0,-0.5966882944327321,-0.1031339314588902,-0.0958461996532125,0.6463609671289423,16.94274357363665
Sntg1,938403.0,0.0,0.0,1.3219280948440812,0.0,-0.1410369968117274,0.0138508003738177,1.8811371126438667,18.72810652130234
Vamp2,3894.0,4.0,-0.0757069373580656,0.0,0.0,0.2237742373120868,0.1685955760357596,0.3158137759768169,11.174301544467694
Rbm15,8252.0,1.0,-0.1077329184449323,0.5025003405256472,0.0,0.0571088801158021,0.0978906438959223,0.7111037319214505,11.496853777388091
Copg2,149240.0,0.0,0.0057108274387083,-0.1520030934434468,0.532130764662806,0.1028538845172061,0.2054676508700214,0.916687865630732,16.100929206334257
Leprotl1,11461.0,0.0,-0.0954764762622807,0.6780719051018176,0.0,-0.0479056781739807,-0.0049215422445572,0.0232483494809798,11.294046313271558
Foxg1,4201.0,0.0,0.0,0.0,-0.3476152893324753,-0.3266961209430659,-0.3360524986335816,-0.0093225370101936,11.86534664481682
Stoml1,9356.0,1.0,0.0029757321472711,0.7369655941469699,0.0,0.213509744075071,-0.0151397409159845,-0.0029406991496405,11.129283016945031
Rrn3,34131.0,0.0,0.0,-0.2630344058289848,0.0,0.1030090966947714,-0.0261249705726161,0.2111455860386447,13.644757592516267
Rabgap1l,574037.0,0.0,0.0,0.4150374992668215,0.0,-0.0221317518434658,0.0343020329911808,1.0117113422950743,18.06716122452963
Ammecr1l,22917.0,1.0,-0.0332512266105062,1.584962500673066,0.0,-0.0843015863530782,-0.1862533747201662,-0.1526073451666505,11.285402218862306
Zfp36l2,4016.0,0.0,0.0,0.0,-0.248375257699783,-0.1886210889618986,-0.1472488304113723,-0.0255022186941742,11.895196572563378
Rnf144a,114290.0,0.0,0.0,0.8744691179052118,-0.0472529041522282,0.018084170852037,-0.0187992840950742,0.5893709886619947,15.745621807938544
Mlf2,5852.0,4.0,-0.0322776257146056,1.807354922040429,0.0,-0.0410898232547083,-0.0699931457989511,0.0067691420971485,11.262682142362223
Mlh3,36079.0,0.0,0.0412600462315063,0.222392421333013,0.0,0.1882217664574181,-0.0746156918973756,0.2141551371695615,11.55937709052673
Msl1,12343.0,0.0,0.0,0.5849625007151449,0.0,0.0656417472873095,-0.0453581206702026,0.0536287315174508,11.481799431665802
Ccnh,34061.0,1.0,0.0115766787498173,0.9999999999639329,0.0,-0.2479996450849375,-0.00217623972918,0.0526175810079418,11.287712379549507
Zfp335os,8599.0,0.0,0.0,1.5025003405136248,-0.7044146024782902,-0.1287376071606659,0.0027061152390935,0.1839556203035606,11.44242519333166
Ccdc57,106343.0,0.0,0.0,0.0,-0.0758091006589358,0.140058506929322,0.1000835286642539,0.4958853435334217,15.58499185212833
Rab43,23311.0,0.0,0.0,0.4150374992771271,0.0,0.2993205929404003,0.2712690846293411,0.9665286040962888,11.751962413460896
Asph,221275.0,0.0,0.0,0.0,0.0,-0.0510638053919321,-0.1635004080677137,0.3017127958570096,16.69155270271952
Trim46,12132.0,2.0,-0.032313022310637,0.440572591383269,0.0,0.081417221985788,-0.0637553097398234,0.096393887906458,12.767356854125708
Mafb,3362.0,0.0,0.0,0.0,0.0,-0.0981803003606935,-0.0502537637275849,-0.0157693939702237,11.421012855779278
Znrf2,76584.0,0.0,0.0,0.2895066171920701,0.0,0.1874354269798543,0.1106563759744312,0.1884451799418638,11.064742764750322
Fam102b,56610.0,2.0,-0.0035352404095329,0.1926450779398196,0.0,-0.0812841526076962,0.111692182624828,0.7976702904385433,14.784890402400324
Scamp3,5292.0,4.0,0.0141843275274052,-0.2141248053520508,0.0,0.0957910257170319,0.0744559552762573,0.1777424277866717,11.0967151544886
Gpr108,13811.0,4.0,-0.0643370360748734,1.378511623235974,-0.2472748171629915,-0.035099422099162,0.0929232681299881,0.5043419623418731,10.98370619265942
Xxylt1,126288.0,0.0,0.0,0.7004397181341564,0.0113673179291541,0.1299798633469379,0.1071348607933601,0.6694445801852824,15.966843374995593
Aga,11694.0,1.0,-0.1108914216599243,2.3219280947719465,0.0,-0.2743917500665791,-0.2323457774029342,-0.1862879749358901,11.2778685461769
Ascc3,258816.0,0.0,0.0,0.9999999999278651,0.0,-0.1466567026001695,-0.0350975321814796,0.2790373579006497,16.79245987604902
Wdyhv1,17288.0,0.0,0.2430558806106241,0.0,0.0,0.0053419479771013,-0.1765338690316863,-0.1224764017565205,11.19598729802857
Imp4,9505.0,1.0,0.0003345558914923,-0.222392421333013,0.0,0.0118199052373453,-0.0798766648587736,-0.0750799006282121,10.709945380232584
Tmem121,3593.0,4.0,-0.1062147311613827,1.5849625007051262,0.6313474723142145,0.1301386924576495,0.196711638420977,0.7418669722059126,11.81977993183852
Rlbp1,12178.0,0.0,0.0,0.6629650127202149,-0.1636904937897099,0.0874391724348508,0.1421139383652551,0.3474310961712332,12.680579295780271
Slc27a1,18420.0,0.0,0.0,0.8744691179106763,0.0,0.0849495519070531,0.1517716939347063,0.7469122655793653,13.251926157496404
Vgll4,109366.0,0.0,0.0,0.8073549220421463,-0.1615081766601283,0.0530087783627022,0.0359334538283672,0.3675592455629055,15.768830456155635
Grm4,99016.0,0.0,0.0,0.4150374992758383,0.5077029070009373,0.1697135552311701,0.2137615083721398,0.8067316619311306,15.495105510007788
Rps24,9834.0,0.0,0.0,0.7369655941613971,0.0,0.036956883818729,-0.1090065790643299,0.0218439511886705,11.248520604938488
Mink1,51602.0,1.0,0.0464574124826464,0.3219280948855587,0.0,0.3860572039184923,0.3467268105598513,1.2700039360160784,14.59653920389734
Cox19,15229.0,0.0,0.0,0.2223924213347308,-0.0989222650575327,0.0213539755530827,-0.0712023502085911,0.2406458608967518,11.663558104217318
Spg21,27523.0,1.0,0.0732830925640137,0.1154772174190115,0.0,-0.0118175106648664,-0.0425172250889413,0.2423917049444615,11.179909090014997
Jarid2,192169.0,0.0,0.0670491886539661,-0.3219280948837557,0.0,-0.0079470104562355,-0.0377941532649764,0.6103440681065897,16.48692927120917
Cisd1,14474.0,0.0,0.0,1.222392421308968,0.0,-0.2923588753897986,-0.2346832214412455,-0.0702990386701349,13.051208940914782
Cetn3,14078.0,1.0,0.0283931797984582,0.5849625006971113,0.0,-0.2595299131228619,-0.213306085644616,-0.2026686487317928,11.080817527608394
Xrcc5,87525.0,0.0,0.0,-0.2630344058289848,-0.2130118423001308,0.051010286983381,0.0559279371045504,0.4537158893163397,15.362663023458936
Trim3,29108.0,0.0,0.233547472432583,1.9999999999639324,0.0,0.0028787604470538,0.1209911992559479,0.6730289176419371,14.00044020841916
Ankrd44,281047.0,0.0,0.0,0.0,0.0,-0.1335402974404244,-0.1257034882869124,0.6443994508085202,17.064279640544807
Wdr18,10051.0,0.0,0.0,0.2479275134421614,0.0,0.2093773944907337,0.1887648061351258,0.561356612493424,11.47978026402915
Guf1,19050.0,0.0,0.0,0.0,0.0,-0.0371318250281162,-0.0486132303420885,-0.0087929328354112,11.201511344500206
Mipol1,266772.0,0.0,0.0,0.9999999999278651,0.0,-0.3568539638781758,-0.2502082590830007,0.1152996716471117,16.605465049369084
Angel2,21850.0,4.0,-0.1144663285602951,0.777607578659258,0.7658904576433243,0.2467644089031961,0.3812508665383123,1.729195061415237,12.515453455388602
Fbxl5,77023.0,1.0,-0.0869178061413448,0.5849625006971113,0.0,-0.0761205212719113,0.0091888810289645,0.2956510430790457,15.282798858683536
Cmpk1,27905.0,0.0,0.0,-0.4150374992668215,0.0,-0.1804197172517219,-0.1204545353777466,-0.1063128060372733,11.511258495502318
Syngap1,31181.0,0.0,0.0,0.0,0.0,0.1141954361562896,0.0586773346169045,0.1981025320571472,13.61677855400015
Mrps15,8607.0,0.0,0.230977789209671,0.4474589769677237,0.0,0.0427676939023209,0.0599218358662719,0.1745618181321031,11.1554507313122
Dcps,51653.0,1.0,0.0200617605836597,0.6374299206095668,0.0739119642947492,0.1275545929043033,0.2424586483186738,0.8496445655964651,14.411841964874869
Fndc9,4341.0,2.0,0.1390388542003661,0.4150374992728327,0.0,-0.1184581178860268,-0.2783509053982114,-0.2783509053982114,10.687375683437557
Zfp35,15744.0,2.0,0.0454359432971784,0.1069152039157192,0.0,0.1662294076888195,0.2576134382249206,0.5647472016108606,13.160974374927951
Fndc3b,295145.0,0.0,-0.0263343704635507,0.5145731728235754,0.4135619006605229,0.0837220645800491,0.2009685839062729,1.471637797059803,17.106695835652694
Msh3,143131.0,0.0,0.0,0.8930847960739761,-0.0683292745032626,-0.2588571230191428,-0.4706918753404328,-0.0666528310996152,16.010528105886486
Zbtb17,23276.0,0.0,0.0,0.584962500716347,0.0,0.1716499594682677,0.1104095358949248,0.4115904136282101,13.652172753509722
Canx,31712.0,1.0,-0.1420947088807231,-0.1926450779398196,0.0,-0.0522360440269709,-0.1286462310807953,-0.0025601970759767,11.459943848374982
Atg3,29753.0,3.0,-0.017887552218046,0.4854268271619979,0.0,-0.1690395865959611,-0.160734503268335,-0.0656582697619629,11.157978449945496
Tchp,14567.0,0.0,0.0,1.415037499263816,0.0,0.0974728581565556,0.5504415333149604,0.8051882597497126,11.512740462803547
Nolc1,9667.0,0.0,0.0,0.222392421333013,0.0,0.0524642107698599,0.1036709432355835,0.1498958686447924,10.7911628885551
Taok1,78653.0,0.0,0.0,0.5849625007091332,0.0,0.0511651967831732,-0.0137317932773473,0.0098811257441233,11.73428623209639
Pex1,41166.0,1.0,0.0363844419415964,0.9999999999759548,0.0,-0.1119988756055674,-0.0538543745615038,-0.0538543745615038,10.86727873970974
Tnpo2,20668.0,0.0,0.0,0.0,0.0,0.0870940302950821,0.0013891307333451,0.0918280965684947,11.576011874206827
Rpl23a,2652.0,2.0,-0.0362679666602683,0.536052900237971,0.0,-0.0572357208167055,-0.0694445772426293,-0.0459117819834,11.429929741353323
Rdh11,17956.0,0.0,0.0278119810407621,0.8073549220421463,0.0,0.0538309575891275,0.0283973565626213,0.1018063686165584,11.785452468158583
Per1,14743.0,0.0,0.0,0.5849625007187518,-0.1357066469288996,-0.0243476307008289,-0.0462417665279408,0.1069131258010498,12.686719366021867
Hat1,52664.0,0.0,0.0,0.0,0.0,-0.0378065413447776,-0.1386802776693398,-0.1386802776693398,10.92703716872037
Hace1,134516.0,0.0,0.0,0.5145731728235754,0.0,-0.059234032826552,-0.1062403458963051,0.0651182572538848,15.793120636895251
Ipo4,10557.0,4.0,-0.0043695339420139,1.295455883518399,0.0,0.0320531818325368,0.2016641910857328,0.417190013253056,12.292321632802068
Osbpl11,58241.0,0.0,0.0,0.0,0.0,0.1739679973738818,0.2266007570418064,0.6478884369169249,14.825654470298906
Snx29,432564.0,1.0,0.0278842165114819,0.4854268271619979,0.1010868630535209,0.116526562008686,0.1892915113012616,0.9086178494200252,17.725006711046593
Slbp,17622.0,1.0,-0.0617368890578357,0.999999999981966,0.0,0.1612821956760526,-0.0952480419835115,-0.0766545073511535,12.898412441684233
Brd7,31155.0,0.0,0.0291207494931102,0.628031222608413,0.0,-0.0650347470129192,-0.1644331555116405,-0.0176764597349556,11.693486957499369
Wdr60,56760.0,0.0,0.0,1.5849625006890964,0.0,-0.280562056024914,-0.0406439154680736,0.0696890186811058,14.68748504065116
Kdm6b,15167.0,0.0,0.0,0.2630344058289848,0.1364199456020021,0.1288579714762755,0.1472200945861258,0.5837365259977103,12.810973220002184
Agbl4,1266663.0,0.0,0.0,1.0780025119928358,-0.3738256225725238,-0.1266548193175584,-0.1330571029992549,0.3240806088614976,18.99042255486389
Taok2,19025.0,0.0,-0.1994749801666771,1.9068905955820687,0.0,-0.0111091584307905,-0.1261173743362,-0.1261173743362,11.060695931687622
Jak1,112915.0,0.0,0.0,0.2895066171920701,0.0,0.0229129857616874,0.152598643223891,0.7976702904698778,15.768132621763291
Crtc3,102250.0,0.0,0.0,0.0,0.2597965410542402,0.1736417035205178,0.0860061275086278,0.529664742536275,15.674247449734208
Cwf19l2,75644.0,1.0,-0.0338129962560779,1.3219280948657215,0.0,-0.0332715381579431,-0.0132917870326135,0.1134461584472373,11.172427508645544
Zfand2b,2983.0,4.0,-0.2976232391929875,0.3785116232504006,0.0,0.1103261727627074,-0.0311198574465985,0.1067732670389771,11.231221180711245
Cyp46a1,27853.0,3.0,-0.0413639462486083,0.5090136474862081,0.0,0.0118505501361361,0.0924052579414735,0.3435329715455614,13.904540546154392
Eif4h,19769.0,1.0,-0.0536327031258499,0.440572591383269,0.0,0.0322836282685871,0.0203981059865759,0.2681602361638706,12.179287104646034
D030068K23Rik,198589.0,0.0,0.0,0.0,0.0,0.0539089263223556,0.033610190424503,0.5595105532948009,16.466124269957255
Akap10,58945.0,0.0,0.0,0.5849625007091332,0.0,0.0909684885569443,-0.1215495867165359,0.0800983174307385,14.3207300479878
Tbc1d24,30131.0,1.0,-0.0335155635703421,0.1520030934434468,0.0,0.1466859821791939,0.1435564324814678,0.3606064849084459,13.92536899157446
Ajap1,109590.0,0.0,0.0,0.3219280948801484,0.0,0.2356884053399111,0.3069038154863062,0.9193794615541092,15.513326654567113
Tango6,168371.0,0.0,0.0,0.2895066171920701,-0.3875730189682991,-0.0205848368784365,0.0586227494622434,0.369569883120193,16.225696990348222
Ppp1r1a,7724.0,3.0,-0.1502032045704844,0.0,0.0,-0.1279856919382065,0.0109628308541055,0.1823240666918804,11.622051819456422
Mier2,14954.0,1.0,0.0961822530136907,0.8930847960739761,0.0,0.1532576042125875,0.0892910776187226,0.1487319355119156,11.47775826644394
Etl4,900933.0,0.0,0.0,0.0,-0.4452008025882379,-0.239428574179518,-0.3051961960050087,0.314739476159669,18.49045136082641
Cdk19,144254.0,0.0,0.0,0.222392421333013,0.6158101038016652,0.2056123918489873,0.1952319912323247,0.7855128241591447,16.072341990829756
Gsg1l,203991.0,0.0,0.0,0.8300749985506743,0.4649720501412728,0.3828253438467013,0.2633150224683316,1.1158462504751323,16.618012620194172
Utrn,487177.0,0.0,0.1065278860439956,0.4150374992758383,-0.4502647096688137,-0.0784599378288648,-0.0459104177987791,1.0610462029439045,17.84013863818088
Nfib,415577.0,0.0,0.0,1.8073549220060792,-0.2360569178165419,0.0183841860899553,0.0523581659366426,1.55652669466284,17.67726542507244
Unc5d,572919.0,0.0,0.0,0.0,0.0,-0.198530733498246,-0.0597771461589931,0.1894098262519188,17.85911008779024
Tmem117,466866.0,0.0,0.0,0.0,0.0,-0.06392983403265,0.1103405711426516,0.3514658310447012,17.811945346358996
9930021J03Rik,91587.0,0.0,0.0,1.8073549220060792,0.0,0.040538367341003,0.1486335163083749,0.6811263853569026,15.364716049027829
Ralyl,710632.0,0.0,0.0,1.5849625006249766,0.0,-0.0785781876801969,0.0172824672942515,0.453715889272792,16.470134543674664
Plxna4,443924.0,0.0,0.0,0.0,0.0,0.0245296529872306,0.1299321008336988,0.8445913378836948,17.704471068902304
Mpped1,79027.0,0.0,0.0,0.0,0.5118758208835901,0.3313146140909137,0.4000882620222535,1.1921528706174198,14.7986236770601
A830018L16Rik,561796.0,0.0,0.0,0.0,0.0,-0.339918255001724,-0.1560232324848788,0.0594369502089952,17.909277848252184
Hcn1,385098.0,0.0,0.0,0.0,0.0,-0.1814850162710572,0.1167999897817138,0.3548625023803399,11.239001757765642
6030407O03Rik,246378.0,0.0,0.0,0.0,0.5038848107518141,0.1258115873632061,0.1904424162301078,0.7255205046305839,16.907524453187513
Tspan3,33752.0,1.0,-0.0261866237497146,0.0,0.0,0.0516512362133247,-0.0303431864817433,0.6653898732139661,13.433194201814986
Sema3e,231413.0,0.0,0.0,0.7369655941597939,0.2331489556376001,-0.0393670013100189,0.013898791768515,0.6003083869119907,16.780629471772386
Rreb1,173605.0,0.0,0.0,0.5849625007091332,0.548957141058271,0.4089570660981633,0.4935673287070689,0.9849905191201072,16.392116139898647
Mgat4c,709982.0,0.0,0.0,0.9999999999278651,0.0,-0.2301366585796324,-0.0804904393004656,0.1083873618513914,17.672770614837262
Itm2b,23063.0,0.0,-0.0664611047114319,1.378511623235974,0.0,-0.226655298632448,-0.197022547161369,-0.1341233721436907,13.342352510087808
Myo6,146698.0,0.0,0.0,0.3785116232504006,-0.6891608558672391,-0.2583971864632718,-0.1369388430521524,0.3594282937269892,15.714889434231551
Gria1,318857.0,0.0,0.0,0.0,-0.6005360461760822,-0.5925248767902282,-0.6435699785671644,0.0241788203555025,16.996870651857797
Ar,174446.0,0.0,0.0,0.0,0.6503070783472684,0.6503070783472684,1.0279798236283444,1.2906576073010594,10.91886323727467
