,DEG
Rnf2,0
Smad5,0
Efnb2,1
Hint2,1
Tomm20,0
Ipmk,1
Aldh4a1,1
Tmem50a,0
Asb13,1
Adap1,1
Kcnh7,0
Hspa5,0
Emc3,0
Tuba4a,0
Tmem248,0
Hnrnpul2,0
Zmym5,1
Pitpnc1,1
Spg7,1
Tsta3,1
5430402O13Rik,1
Rpl3,0
Kansl1l,0
Lrrc14,0
Rbm22,0
Banf1,1
Eif2ak3,1
Strap,1
Abr,1
Atg4a,0
Dgkb,2
Mcee,1
Pgam5,0
Vdac2,1
Asap1,2
Brpf1,1
Tmem70,0
Bves,0
Man2c1os,0
Itgbl1,0
Slc20a1,1
Dock11,0
Higd2a,0
Rsl24d1,1
Isca2,0
Jpx,1
Fam126a,0
Gm16023,1
A130014A01Rik,0
Eps15,0
Traf3,1
Cbx5,0
Tpt1,0
Mbd6,2
Ubfd1,0
Tiam1,0
Gm15879,1
Mfap3l,0
Gpn3,1
Adarb1,1
Elmo2,0
H6pd,1
Ccdc173,1
Necap1,1
Nap1l1,1
Arid3b,0
Kcnk13,0
Gosr2,0
Psmd7,0
2010300C02Rik,0
Srr,1
Syt12,1
Gm11817,0
Plec,0
Gan,0
Gadd45gip1,1
Taf10,0
Pank1,1
Smad4,1
Slc25a47,1
Ccdc58,0
Gm15594,0
Fsd1,1
E230016M11Rik,0
Prox2,0
Gm28198,0
Mrpl21,1
Man2a2,1
Dcps,1
Chpf,0
Wdyhv1,1
Zfp626,1
Cox5a,0
Ebag9,0
Drg1,1
Zfp867,0
Anapc10,1
Mis12,1
Adamts6,1
Cct2,1
Brcc3,0
Tmem258,1
Oat,1
Ttpal,0
Kcnk10,1
Wscd2,1
Pigf,1
Yipf1,1
Cobl,2
Kat8,1
Plk2,1
Pxdn,0
Timmdc1,0
Rpl22l1,0
Trim24,1
Micall1,0
Enox2,1
Nckap1,1
Polr2a,0
Arpc3,0
Tfcp2,1
1500004A13Rik,1
Gm16599,0
Mib1,1
Dap3,0
Lipa,1
Spred3,1
Slc20a2,1
4930506C21Rik,0
Zfp84,1
Glt8d1,1
5031425E22Rik,1
Ctbp1,0
4930556N13Rik,1
Kcnmb2,1
Krt10,0
Exoc4,1
Elp2,1
Rnf141,0
Prr16,1
Luzp1,1
Ndufaf5,1
Apoe,0
Smurf1,0
Cpeb1,2
Inpp5a,1
Snhg11,2
Nrip2,0
Rlf,1
Klhl28,0
Trim35,0
Fam160a2,0
Arhgap26,1
Mxi1,1
Pogk,1
Hs1bp3,1
Tigd2,0
Napepld,0
Uspl1,0
Stim2,1
Pid1,1
Ugt8a,1
Rpgrip1l,1
Dnajc18,1
Ankrd24,1
Scand1,0
Txnrd1,0
Fbxl3,1
C630043F03Rik,0
Bscl2,1
Gm16093,0
Rhof,0
Nrg3,1
Adcy3,0
Gspt2,0
Mt1,0
Gm15787,1
4930578M01Rik,0
Gm15624,0
Fam210a,0
Gm15396,0
Sh3bp4,1
Dgkd,1
Zfp622,1
Abl2,1
Tprgl,0
Ppm1h,0
Sdf2,1
Phykpl,1
Islr2,0
Tsg101,1
Bod1,0
Srl,0
Tsfm,1
Trim17,0
Mrpl20,0
Gpr19,0
Mtmr12,1
Nsun3,0
Eef1a2,1
Srrm3,2
Thpo,1
Kctd5,0
Fam192a,0
1700008O03Rik,1
Ssbp2,1
Ubald1,0
Rnf113a2,0
Mrps24,0
Rsu1,0
Ap5m1,1
Pom121,0
Fbxo11,1
Mrpl16,1
Emc9,0
Zfp442,0
Gm12905,1
Sntg2,0
Ptpn3,1
Atoh7,1
Rab11fip5,1
Rps4x,0
Gm11906,0
Sncaip,0
Hnrnpa2b1,1
Wdr20,1
Yars2,0
Gm10544,1
Asb8,1
Wdfy3,1
Ncapg2,1
Zfp251,0
Ccl27a,1
Tbkbp1,0
Ccdc39,0
Pik3r1,2
Zc3h12c,1
Gm527,1
Rpl23a,0
Vps26a,0
Notch1,1
Rpl18,0
Junb,1
Itpr1,0
Ccdc25,1
Ppp6r1,1
Zfp667,1
4930503L19Rik,1
BC004004,0
Hint3,1
Btg3,0
Rab26,1
Alkbh2,1
Oprm1,0
Cxxc5,0
Rrp1,0
Commd8,1
Hcn3,1
Plekha2,0
Smarce1,0
Lamp1,0
Commd2,1
Gm13883,0
Slc1a2,1
Fzr1,1
Mettl8,0
Mfhas1,0
Ccnt2,1
Tmem39a,0
Casp2,1
Kctd9,1
Stra6,0
Zfp420,0
Msi1,1
Smpd4,0
C2cd2,0
Cops8,0
Scaf11,1
Zfp386,1
Zbtb43,1
Fmn1,2
Itsn1,1
Cdan1,1
Rasgef1a,1
Zswim4,1
Farp1,0
Tmed1,1
Cux1,2
Pebp4,1
Tcp11l1,0
Ak2,1
2700046G09Rik,1
Pcdh15,0
Gm26590,1
Mta1,0
Psmb2,1
Tmx2,1
Zfp46,0
Prep,1
Aplp2,1
Armc7,1
Mettl4,1
Gstm1,1
Dnhd1,0
Upp2,2
Fbxo31,1
Slc35c2,0
Fgf5,1
Wdr47,1
Gpr155,1
Rpl17,0
1700080N15Rik,0
Rad9b,0
Galnt2,0
Klhl8,1
Tubb5,0
Tk2,1
Entpd3,1
Ska2,1
Mei1,1
Apex2,0
Adcy1,0
Ap1ar,0
C1galt1c1,1
Ntn3,1
Taf8,1
Poldip3,0
Med26,0
1600014C10Rik,1
Tmem243,0
Hist1h4d,0
Erc1,0
Utp3,1
Bag2,1
Cnih1,1
Tgfbrap1,1
Syne2,1
Cetn4,0
Cit,2
Lmnb1,1
Thap1,1
Gnai1,0
Lrp12,0
Gm17231,0
Chmp2a,1
9930104L06Rik,1
Chst9,0
St6galnac3,1
Map4k2,1
2810002D19Rik,1
Atp5g3,0
Dip2c,1
Pcdh1,0
Ndufs3,1
Prkag1,1
Pigc,1
Sfmbt1,1
Mier2,1
Kctd13,1
Ctsf,1
Wdr1,1
Mrpl48,0
Mknk1,1
Gm11084,0
Smpd1,0
Gemin8,1
Gm14329,0
Eif3k,0
Pfdn2,0
Tcte2,1
Rnf10,0
Glra2,0
Exoc3,1
1700110K17Rik,1
Msh3,0
Slc37a3,0
Cndp2,1
Psg16,1
Tmem29,0
BC031181,0
Rragc,1
Sbds,1
Taldo1,1
Epg5,1
Slitrk4,0
Trp53inp2,1
Mrps27,0
Bnip3,1
Kctd18,1
2310022A10Rik,1
Rbbp5,0
Slc25a46,0
Ube2v1,0
Nhsl1,0
Cuta,0
Ube2d3,1
D330041H03Rik,1
Gpr26,0
Gm17036,1
Slc25a18,1
Fundc2,1
Gm11099,0
Vldlr,1
Kcnj3,0
Cyb5d2,1
Gabbr1,1
Rhno1,1
Ggnbp2,1
Unc50,0
Cdc37,1
Mtus1,0
H1fx,1
Lamc1,0
Psma7,0
Ccnc,1
Mrgbp,1
Kat2a,1
Alg9,1
Mcts1,0
Wdsub1,1
Lrtm2,0
4933400F21Rik,1
Trmt6,0
Dus1l,1
2810402E24Rik,0
Gtf3c4,0
P4htm,1
Sms,0
Man2a1,1
Ddb1,1
Arl4a,1
Itga4,0
Bmi1,0
Efnb3,0
Zfp518a,1
Camk2b,1
Rps8,0
Med14,1
Brms1,0
Heg1,0
Uhrf1bp1,0
Glp2r,0
Fau,0
Myrip,0
Rad51ap2,0
Sub1,0
Tomm6,0
Eaf2,0
1110059G10Rik,1
Zkscan2,0
Sag,1
Timm13,0
Ccdc6,0
Slc35e2,0
Gm2824,2
Hs3st4,2
Map2k6,1
Ago1,0
Tpd52l2,1
Recql5,1
Trps1,2
Rnasek,0
Txndc15,0
Zfp318,1
Tpd52,0
Asb7,1
Trmt2b,1
4930594M22Rik,1
Strada,1
Dach1,0
Acot8,0
Kdm1b,1
Mfn1,1
Zfp770,0
Rrp7a,1
Agps,1
Stx2,0
Impdh2,0
Scly,1
Add2,0
Gcnt2,0
Mrpl51,1
Ttbk2,0
Klf8,0
Fam160b2,1
Stk40,1
Mok,0
Rprml,0
Atp11a,0
Golt1b,0
Timp2,0
Zfp507,0
B3galt5,0
Sphk2,1
Parp1,0
Il20rb,0
Jag1,0
Grin1os,1
Vstm2b,1
Swt1,1
2310009B15Rik,1
Trrap,1
Prkcsh,1
Vwa5b1,1
Ssh3,1
Ttc39c,0
Nck1,0
4930545L23Rik,0
Cyp4x1,1
Pdcd4,1
Fam49a,0
Uhrf2,1
Xk,0
Coa3,0
Akap11,1
Riok1,2
Crtac1,0
Mast1,1
Dbx2,1
Wars2,1
Ppp1r16b,0
Pigt,1
Pomp,0
Setd3,1
Get4,1
Tle2,1
Xylt1,2
Dab1,1
Far2,0
Lamtor3,0
Nudt5,0
Zfand6,0
Caly,0
Braf,1
Mageb16,0
C1d,1
Hnrnpul1,1
Fam136a,0
Pank2,1
Bdnf,0
Tmem251,0
Nsg2,0
Ppp1r21,1
Bzw2,1
Tef,1
Wnt7b,0
Ehhadh,1
Ptprn2,1
Pogz,1
Rad52,1
Atp6v1e1,1
Arhgef3,0
Gpt2,1
Rft1,1
Zfpl1,1
Rptor,1
Rheb,1
Per1,1
Ccng2,1
Hars,1
Tmem117,1
Abhd17c,0
Plch1,0
Mrps35,0
Ppdpf,0
Canx,1
Osbpl7,1
Chtop,0
Cplx1,0
Osbpl1a,1
Rpl15,0
Polr2c,1
Masp2,1
Acvr1c,0
Cdkl4,1
Mme,0
Shc3,0
Scp2,1
Nrg1,2
Galnt10,1
Lman2l,0
Gm17167,0
Extl2,0
D030028A08Rik,1
Kctd6,0
Klhl26,0
Rexo2,1
Pim2,1
Taf12,1
Dlx1as,0
Vwa5b2,1
Srfbp1,1
Sord,1
Aurkaip1,0
Vps37b,0
Cntnap2,2
Trim66,1
Dohh,0
Stard5,0
Apba3,1
Zfp30,1
Snx9,0
Mgat4a,0
Mrpl44,1
Shq1,1
Tubgcp2,0
Grin3a,1
Dynll2,0
Furin,1
Chpf2,1
Rimklb,0
Ranbp1,1
Elfn2,0
Zfp839,1
Snap23,1
Dgcr8,0
B3gat2,0
Mterf4,1
Kcnk2,0
Gm12089,1
Catsperg1,1
Sh3bgrl2,0
Stmn1,1
5430416N02Rik,0
Hebp1,0
Kl,1
Pdgfb,1
Map2k3,1
Zfp874a,1
4732463B04Rik,1
Wdr82,0
Psd3,1
Rpl5,0
B3gnt2,0
Ftsj1,1
Eif4enif1,1
Zfp746,0
Gm14066,1
Prdx5,0
Adamtsl1,1
Supv3l1,1
Gm553,1
Dhx33,0
Rps6ka3,1
Eif3f,0
0610010K14Rik,0
Snapin,1
Cacna1a,1
Cdr2l,1
1700024B18Rik,0
Ran,0
Pgam1,0
Foxj3,1
1500015A07Rik,0
Brinp3,1
Bcar1,0
Tbc1d9,1
Lta4h,1
Gm14296,0
Wdr7,1
Tecr,0
Bckdk,1
Gas5,0
Rpgrip1,1
Vmn2r29,0
1110051M20Rik,1
Gde1,0
Brox,1
Snrpn,1
0610009B22Rik,1
Arhgap27os2,1
N4bp2l1,1
Psmb3,0
Sf3b5,0
Mif,0
Mnat1,1
Acot6,1
Myg1,1
Gpsm2,1
Eva1c,1
Abhd14a,0
Trap1,0
Exoc5,1
Polr2m,1
Tex264,0
Mtcl1,1
Map1lc3b,0
5430400D12Rik,1
6530409C15Rik,0
Zfp213,1
Fbxl16,1
Utrn,0
Nr3c2,0
Ctsb,0
Wasf3,0
Ube4bos1,0
Ndfip1,1
Lgi3,1
Slc35d1,0
Atg7,1
Fem1b,1
Yeats4,0
Abi1,0
Efna3,1
Gm27032,0
Zfp518b,1
Necab1,0
Msra,1
Vti1b,1
Id2,1
Ptgr2,1
Gramd2,1
Nanp,1
2610008E11Rik,0
Qpctl,1
Fnta,1
Pak1,1
Lrig1,1
Tyw5,1
Lamtor1,1
Zswim1,1
Rusc2,1
Gm16894,1
Parp16,1
Kcnj6,0
Arl8b,0
Atp5f1,0
Mri1,1
Gnaz,1
H3f3a,0
Yrdc,1
Nenf,0
Zwint,1
Pik3cb,1
Mmp24,1
Mlst8,1
Zcchc4,1
Tpcn1,1
Cd81,0
Cacng8,1
Spata2,0
Gm21954,0
Bend4,0
Gosr1,1
Iqcb1,1
Ndel1,1
4921531C22Rik,1
Zscan12,1
Rpl26,0
Usp10,0
Slx4ip,0
Tmem121,0
Nufip1,0
Tnpo1,1
Tmem245,1
Stk38l,0
1110017D15Rik,1
Tll1,0
Tspan18,0
Spcs3,0
Kif1c,0
Rnf219,1
Lrrc8b,0
Chid1,0
Gba2,0
Hmbox1,1
Nudt19,0
Arsg,1
Nsa2,0
Slc43a2,0
Mcmdc2,1
Gm15952,1
Mrs2,0
Acvr2b,1
Gm26803,0
Gucd1,1
Abhd3,0
Cdh8,0
Pard3,0
Wnt9a,0
Mrpl50,0
Dnajb12,0
Pigp,0
Esrrg,2
Rrp1b,0
Dnajb9,0
Tek,0
Lrrk2,2
Mrpl17,0
Clmn,0
Homer2,1
Plagl2,1
Fbn2,0
Gpatch11,1
Map1b,0
Ncoa4,0
Efhd2,1
Capza2,0
Trhde,0
Dpysl5,0
Pigu,2
Napa,0
Aldh9a1,1
Brsk2,0
Mcfd2,0
Rpl14,0
Gm10785,0
Cdkn1b,1
Rnf19a,0
6030442K20Rik,1
Tsix,2
Pdcl3,1
Nfyc,0
Kbtbd3,0
Fam107b,0
Pmepa1,0
Chd7,2
Dnajb11,0
Nme5,1
Rbm8a,0
Pno1,0
Gtf2ird2,1
Tmem205,0
Jun,0
Lias,1
Spice1,0
Atp1b3,1
Ndrg4,1
Abat,1
Qser1,1
Ptpra,0
Slc14a2,1
Eef1a1,0
Ofd1,0
Wdr31,1
9330020H09Rik,1
Otulin,0
Nfib,1
Ebna1bp2,1
Uvrag,1
Tex2,0
Amer2,0
Rc3h1,1
Usp39,1
Asf1a,1
Usp15,1
Afap1l2,0
Dennd5b,2
Lsm1,0
Rps18,0
Tomm5,0
Sertm1,0
Prdx6,0
Zfp277,0
Arhgap44,1
Ctnna3,0
Sptbn2,1
Mrps17,0
Tmem127,1
B4galt5,0
Slc25a40,0
Lix1l,1
Pabpn1,2
Adam4,1
Hspe1,0
Nob1,1
Smc1a,0
Sacm1l,1
Alkbh6,1
Atp7a,0
Dek,0
Clk1,2
Trappc6a,1
Hdac7,2
Usf1,1
Cabyr,0
Hectd2,0
Sgcb,0
Ttc21b,1
Rbbp9,1
6330403K07Rik,0
Anks1,1
Cables1,0
Trim39,1
Ntm,2
Tuba1b,0
0610030E20Rik,0
Mrps11,1
Dand5,1
Ier3ip1,1
Pus3,1
Them4,1
Stk39,1
Kcnj2,0
Psmd12,1
Praf2,1
Tsc1,1
Sat1,1
Clec16a,0
Gm12353,1
Mpg,0
Med31,1
Tma7,1
Kcnf1,0
Gm27241,0
Galntl6,1
Abcg1,0
Ctdspl2,1
Lekr1,0
Ust,0
Rhoq,1
Far2os1,2
Ptcd2,1
Pou2f2,2
Ccnd3,2
Rcc1,1
Gm16759,0
Gm26879,0
Slc4a4,0
Rap1gap2,1
Prkcg,2
Tmem136,0
Rpl10,0
Rnf207,1
Mtx1,0
B230219D22Rik,0
Plxna4os3,0
Cetn3,0
Snx12,0
Pofut1,1
Map3k14,1
Gm28750,0
Timm50,1
Agpat3,0
Pprc1,1
Rab8a,0
a,1
Dhx32,1
Opa1,1
Pdrg1,1
Gm27003,1
Prox2os,1
Ttr,0
Ckap5,2
Hbp1,1
Hps3,0
Rab8b,0
Apex1,1
Pxylp1,0
Tmem131,0
Rpl8,0
Ints7,0
Tmem59,0
Ndufab1,0
Psmb4,0
Nxt1,1
Paqr9,0
Nxf1,2
Tmem138,1
Atp5a1,1
Prss12,0
Pa2g4,0
Slc22a17,0
Gm17108,0
Acot13,0
Rab35,1
Inafm1,1
Naga,1
Cpne4,1
Traf6,0
Actr8,1
Slc39a6,0
Cacna1e,0
Nptx1,0
Gm14827,1
Slc16a2,1
St5,0
D11Wsu47e,1
Nup93,0
Sdcbp,0
Bet1l,1
Ddx1,0
Tssc4,0
Tesk1,1
Zxdc,0
Dcaf7,0
Amdhd2,1
Ube3a,0
Gm20387,1
Gm26944,0
Imp4,1
Tmem126b,0
Tbl2,0
Rfk,1
Gm20319,0
Dcx,0
Ablim1,1
Gnal,1
Haus6,0
Zranb3,0
Tomm40l,1
Pitrm1,1
Klhdc1,1
Mdh2,0
Mmgt1,1
Tmco6,1
Osbpl8,1
Npy5r,0
Rbmxl1,0
Abcc8,0
Ywhah,0
Terf2ip,1
Derl1,1
Ganc,1
Gm16008,1
Ror1,0
Lingo3,0
Gm14399,1
Supt6,0
Snx16,1
Fdft1,1
Phyhip,0
Ccz1,1
Snx19,0
Flywch2,1
Pak7,1
Rpl35,1
Zfhx3,2
Arl16,1
Bbs12,0
Dclre1c,1
Krr1,1
Zfp874b,1
Gm6999,0
Acsl5,1
Sra1,1
Sgsm3,1
Fuca2,1
Magi3,2
Dcaf11,1
Unc119b,0
Wdr11,1
Asns,0
Sf3b6,0
Nme7,1
Rbm15,1
Uba2,1
Wee1,0
Idh2,1
BC048403,1
Pole4,1
Zfp786,1
Zkscan3,1
1700066M21Rik,1
Rabep1,1
Dtx2,1
Aff2,1
Cpsf3,1
Gtf3c2,1
Prdm5,1
Cops5,1
Ubqln2,0
Tfip11,1
Nub1,1
Cul9,2
Prdx1,0
1700048O20Rik,1
Man1a,1
Stk11,1
Ocln,0
Idh3b,0
Kcna1,0
Micu2,1
Snap25,1
Lrrc8c,1
Naa60,0
Lurap1l,0
Nsg1,0
Cpsf7,1
Ankrd55,0
Lpin1,1
Slc52a2,1
Ppp1r9b,1
Pdss1,1
Rps6,0
Mon1a,1
Coro2b,0
Ppm1k,1
Ahcyl2,0
Rnaseh2a,1
Fscn1,1
P2ry12,0
Acin1,1
Dnm3,1
Twistnb,1
Zfp655,0
Sirt4,1
Crebbp,1
Dnttip2,1
Gdap2,1
Mtrr,1
Lzts1,0
Tmem56,0
Vipr1,0
Numa1,1
Rpl31,0
Bmp6,0
Nudcd3,1
Tmem134,1
Got1,0
Trpc5,0
Bloc1s2,1
Senp2,1
Lingo1,0
Grin1,2
Mterf3,1
AI597479,1
Slc7a5,1
Gskip,1
1810013L24Rik,0
Kcna2,1
Zfp276,1
Spag6,1
Amer3,0
Atg101,0
Fgfr2,0
Kdsr,0
Dsp,0
Purg,1
Inha,0
Gm1673,0
Rrnad1,1
Sgk3,1
Bphl,0
Kitl,0
Ssx2ip,0
Pygo1,1
Slc4a3,0
Rwdd3,1
Tcp11l2,1
Cdk9,2
Pknox2,1
Ptcd3,1
Tctex1d2,0
Hprt,0
Slco3a1,0
Tomm40,1
Dnajc30,1
Cuedc1,1
Alkbh3,0
Tcp1,0
Alkbh5,1
Polr2e,1
Jdp2,0
Rpl27a,0
Kdm5c,2
Scel,1
Tmc7,0
Ifitm10,1
Il1rap,0
Nfil3,1
Cdc42se1,1
Elovl1,1
Cdkl2,1
Lrp1b,1
Zfp106,0
Gm5141,1
Cct6a,1
Vbp1,0
Tln1,1
Rprd1a,1
Itsn2,1
Frmd3,0
Gpr162,0
Pibf1,1
Ndufb7,0
Hs2st1,1
Syt13,0
Aldoc,1
Eid2b,0
Samm50,1
Polr3g,1
Eme2,1
Dbpht2,0
Nbeal2,1
Ttc9b,0
Dzip1,2
Hcfc1r1,0
Xpa,1
Brip1os,0
Pcid2,0
Golga3,1
Ywhaq,1
Uqcrb,0
Tmem11,1
Dtnbos,0
Rbm14,0
Trdmt1,1
Txn1,0
Psmd14,1
Psmc5,0
Xrcc5,1
Kazn,0
Zkscan14,1
Dpy19l1,2
Entpd7,1
Pdcl,1
Actr6,1
Atp6v0b,0
Nudcd1,0
Elmod3,1
Mgat1,0
Ydjc,0
Pofut2,1
Tpgs1,1
Fah,1
Nedd8,0
Pcdh11x,0
Cdk5r1,0
Papss1,1
Ppp1r14c,0
Map7,2
Dctn1,1
Slc30a7,0
Chd9,1
Abcg2,1
Msrb3,1
Rprd1b,1
Scn8a,1
Snrpd2,0
Lrpap1,0
Jmjd8,1
Mras,0
Omg,0
Sowaha,0
Manba,1
Tro,0
2500004C02Rik,1
Cmas,0
Xpr1,1
Gm15834,1
Galnt14,1
Pgs1,0
Fyn,1
Gm16066,1
Rpl27,0
Lonp2,1
Zfp933,1
Gad1,0
Cherp,1
Cramp1l,1
4921534H16Rik,0
Ube2g1,1
Spata5,1
Ppme1,1
Slc11a2,0
Gucy1a2,1
Lrrc24,1
Tmem28,1
Slc30a1,0
Arhgef10,1
B4galnt1,1
Mmd2,0
Actb,0
Gm12122,1
Olfml2b,0
Gnb1,1
Cyp46a1,0
Smyd2,0
Gstcd,0
Atp8a2,1
Eps8,0
Gm12227,0
Gm20721,0
Acad8,0
Nfe2l2,1
Nol6,1
Pkd2,1
Pdap1,0
Pink1,1
Kantr,1
Manf,0
Snx29,0
Mthfsl,0
Uqcrc1,0
Akr7a5,1
Arpp19,0
Sar1a,0
Diablo,1
Grk6,1
Exoc2,1
Spata24,1
Ilk,1
Ablim3,0
Spata13,0
Slco5a1,1
Eif4g2,0
Fdxacb1,1
Il6st,1
D3Ertd751e,1
Ssr4,0
Ccdc97,1
Gm5441,0
Haus3,0
4430402I18Rik,0
Aven,0
Pias2,1
Rps27a,0
Csnk2a1,1
C1galt1,0
Tpst2,0
Aar2,0
Phyhipl,1
Tgfa,0
Rab7,0
Rgs7,1
Chst1,1
Mark2,1
Bend6,1
Psmd5,0
Rps24,0
Dclk3,1
Mettl7a1,0
Gm26549,1
Cct8,0
Uhmk1,0
Pcna,0
Saysd1,0
Gm11457,1
Gzf1,1
Copb2,1
Cst3,0
Mief2,1
Tns3,1
Derl2,0
Rpl9,0
Zfp804b,2
Brk1,0
Capn2,1
D2hgdh,1
Slc10a7,0
Gm14966,1
Etl4,2
Atp5o,0
Ndufa7,0
Det1,1
Gtpbp2,1
Kars,1
Klhl10,0
Dffa,1
Rab34,1
Zbtb33,1
Dcakd,1
Polr3h,0
Pcx,0
2610035D17Rik,0
Gm8098,0
Lrrc59,1
Serinc5,0
Thy1,0
Mllt1,1
Nefm,0
Efcab5,1
Slc16a6,1
Npm1,0
Coro1c,0
4933406I18Rik,1
B130034C11Rik,0
Fbn1,0
Coro2a,1
Trim32,1
Dnajc3,0
Zbtb38,1
Slc2a8,1
Atrip,0
Lrrfip2,1
Iws1,1
Ifnar1,1
Snrpf,0
Crlf1,0
Add3,1
1190005I06Rik,1
Chst15,0
Uqcr10,0
Nrg4,1
Chmp7,1
Adcy10,1
Gls2,1
Aim2,1
Coasy,1
Riok2,1
Nolc1,0
Gtpbp3,1
Rpl18a,0
Macf1,1
Cox7a2l,0
Prmt2,1
Angpt2,0
Med28,1
Marc2,1
Fastkd2,1
Cbfa2t2,1
Mettl6,1
Srcap,1
Socs5,0
Slc35b4,0
Tex30,1
Uba3,0
Ergic3,1
Gm29514,0
Upf1,0
Slc24a2,1
Tmem14c,0
Dnajb5,0
Ankrd13a,1
Dhps,1
Ndrg2,1
Ptprz1,1
Mcl1,0
Slc9a6,0
Sppl2a,1
Gm15614,0
Nckap5l,1
Pcdhb14,1
Rps27,0
Pelp1,1
Synpo2,1
Ercc6,1
Twf1,0
Slc12a8,0
Alg8,1
Znfx1,1
Dnlz,0
Zfp395,1
Tars,1
Mien1,0
Paqr8,1
Bbs5,1
Mgat5,2
Slc27a4,1
Gfer,0
Wasl,0
Mapk9,0
Rgs6,0
Rab4b,1
Fubp3,1
Wscd1,0
Ltbp3,2
Sh3gl3,0
Rpl7l1,0
Slc30a10,1
Nnat,0
Nrp2,0
Zfr2,1
Qsox1,1
Mff,1
Smad3,0
1500011B03Rik,0
Kcnb1,0
Ehd3,0
Scamp2,1
Kpnb1,0
Snap47,0
Hrk,0
Plbd2,0
Erich1,0
Hic2,1
Mef2a,1
Mkrn1,0
Phf8,1
Napb,1
Tctn1,0
Mgll,0
Dapk1,1
Sh3glb2,1
Prelid1,1
Mtr,0
Fcf1,1
Dalrd3,0
Pts,1
Mast4,0
Zc3h6,1
Inhba,0
Tmem179,0
Rab11fip4,0
Tspyl4,0
Rpl21,0
Tmed9,0
Rybp,1
H2afj,0
Fbxo7,1
Uap1,1
Nol7,0
Gm15243,0
Dgka,0
March11,1
Nrde2,0
Prodh,0
Tceal6,0
Btbd10,1
Klhl15,0
Sepsecs,0
Zbtb37,0
Fam102a,0
A930012L18Rik,1
Zhx1,1
Trabd,1
Btg1,1
Pcsk2,2
Fam98b,1
Gm12258,1
Rcbtb2,0
Mtmr9,1
Mtfp1,1
Crmp1,1
Sprn,0
Eml2,1
Lcmt1,0
Elovl7,1
Prpf8,1
Usp46,0
Zfp788,0
Prrc2a,1
Elac1,0
Bsn,1
Setdb1,1
Rbm4,0
Herc3,0
Gm16835,0
Crebl2,1
4732491K20Rik,1
Zfp334,0
Crem,0
Desi1,1
Rnaseh1,1
Armc8,1
Tmsb4x,0
Sema5b,0
Slc44a5,0
Crls1,1
Gm11944,1
Cog8,1
Irak1bp1,0
Cox7c,0
Macrod2os1,0
Gna13,1
Herc1,1
Pgp,0
Ints2,1
Rhbdl3,0
Ppp1r1a,0
Hnrnpd,1
Tmem230,1
Dcaf17,1
Lss,1
Vapb,0
Minpp1,0
Cox6b1,1
Tarbp2,1
Copg1,0
Smim17,1
Zfp809,1
Map1lc3a,0
Camk4,0
Lct,1
Ncan,0
Ccnjl,0
Uxs1,1
Rps17,0
Eif3h,0
Kdm5b,1
Elp6,1
Ankrd54,1
Ccdc12,0
Sema7a,1
C77080,1
Zfp709,1
Gm21887,0
Ccdc127,0
Ccdc85c,0
Usp20,1
Nat10,0
Ube2l3,1
Polr2j,0
Rab26os,1
Lyn,1
Rps15a,0
Sema3c,0
Mcm9,0
Hif1an,1
Sfxn5,0
Lrrc47,1
Saal1,1
Calm1,0
Tbc1d9b,1
Tbc1d16,0
Ptma,1
Setmar,1
Coq9,1
Psmd2,0
Zfp865,1
