,DEG
Smg5,2
Agap1,2
Acat1,1
Gm15965,0
Rbm4b,1
Zfp825,1
Eef1b2,0
Gm15738,0
Nudt9,1
Cacnb4,2
Srrm3,2
Ly6e,1
Xpr1,2
Gm27241,0
Sez6,2
Ireb2,1
Gm15608,1
Cdc25b,2
Tm6sf1,1
Ptpn14,2
Sh3bp1,2
Mrpl1,1
Sltm,1
Syne1,2
Srcin1,2
Zbtb49,1
Crlf1,0
Eftud2,2
Rnasek,0
Ndufa5,0
Fdft1,2
Zdhhc3,1
Hnrnph2,1
Rpl37a,0
Neurod2,2
Lin28b,2
St5,1
Pacsin1,2
Anxa6,2
Ube2r2,2
Lsm14a,2
Pcdhb14,1
Cdk5rap3,1
Nr6a1,2
Tlk1,0
2310002F09Rik,0
5430405H02Rik,1
Atxn2,1
Btg1,1
Acaa1a,1
Cdkl4,2
Lrtm1,0
Slc4a1ap,2
Aagab,1
Phkg2,2
Eef1a2,1
Taf1,2
Sox5,2
Tmem255a,1
Flrt2,0
Sptbn2,0
Gnb4,1
Gpx4,1
Manf,0
Mrpl28,1
4933413L06Rik,0
Exosc7,1
Pou2f2,2
Gnptg,1
Kcnj9,1
Sycp3,0
Hs6st3,1
Camk2g,2
Ablim1,2
Syde2,1
Gpr22,0
Dpyd,2
Kdm5c,2
Rps2,0
Stx5a,2
Efr3b,2
Tmem56,1
Ccdc30,1
Brip1os,0
Rab3a,0
Ptprn,2
Ptn,0
Dmpk,1
Peli1,1
Nos1,2
Hat1,1
Mast1,2
Stx1a,1
Ccne2,1
Zfp661,1
2600014E21Rik,2
Edf1,0
Rasl11b,0
Agfg2,2
Map4k2,2
Lynx1,1
Atp5j,0
Nup50,1
Gramd4,1
Adcyap1r1,1
Sp3os,1
Pfkm,2
Acvr1b,1
Hsdl1,1
Sco2,1
Smg1,1
Phf7,1
Pex14,1
Cep250,2
2310057M21Rik,1
Pbx3,2
Cask,1
Smc5,2
Ndufs5,1
Man2a2,2
Ptpn5,2
Pitpnm2,2
Cebpd,0
Reps2,1
Mcm9,1
Nsmce2,2
Rragc,1
Prep,1
Zbtb18,0
Rps4x,0
Cpt1c,2
Rad17,2
Brd8,2
Ext2,2
Mcf2l,1
Rspo2,2
Stk25,2
Dcp1a,1
Ndufv2,1
Dynlt1a,1
Unc5c,2
Nkiras1,1
Sorl1,0
Gm12655,1
Dtnb,1
Fth1,0
Arhgap23,2
Jakmip1,2
Rbm26,1
Chd3,1
Pkn1,2
Dpysl2,2
Zfp26,1
Fscn1,1
Rc3h2,1
Zc3h8,1
Pbx2,2
Top3b,1
Tbc1d20,1
Atp5g1,0
Asxl3,1
Mmp24,2
Imp3,0
L1cam,2
Pdia3,1
Mthfd2,1
Pgap1,1
Mtcp1,1
Uqcr10,0
Cipc,1
Unc5a,2
Pmm2,1
Adamts9,2
Arpc2,0
Cars2,2
Col25a1,2
Dchs2,2
Col20a1,1
Kifc2,2
Pik3r2,1
Sntb1,1
Auts2,0
Slc17a5,1
Appl1,2
Rhbdl3,1
Gm14636,1
Uck2,1
Snx32,2
Eps15,1
Kat5,1
Gm15513,1
Tbc1d1,0
Lamb1,1
Pyroxd1,1
Rrp7a,1
Ctxn1,0
Ak5,2
Diras2,1
Msrb1,1
Airn,1
Atl2,1
Slc7a6os,1
Dhx57,2
Pno1,1
Mical3,2
Snx21,1
Foxn3,2
Kcnh5,1
Nsg1,0
Rpl7,0
Snx18,1
Ubr2,2
Slc35f1,2
Gabrg3,1
Sptbn4,2
Inhba,0
Gm14330,0
Fam53c,1
Grb10,2
Usp54,2
Sema6d,0
Fsd1,2
Slc9a9,1
Adpgk,1
Nup98,2
Ints12,1
Fam155a,1
Tmem126a,1
Ubc,0
Tsc22d4,1
Gm28376,0
Me3,1
Agbl5,1
Xndc1,2
Acp6,1
Imp4,1
Slc38a7,2
Rtn4rl1,1
Cfp,1
C530008M17Rik,2
Mgat4c,2
Arhgap20os,0
Map2k4,1
Zdhhc1,2
Setd2,2
Ntng1,2
Atp6v0c,0
4930405A21Rik,1
Jdp2,0
Prrt3,1
Mogs,1
Ddx17,1
Sipa1l1,1
Lrsam1,2
Mrps21,1
Lrrc1,2
Arfip2,1
Marcks,1
Ripk1,1
Manea,1
Ndor1,1
Rusc1,2
Prkdc,2
Pcyt2,2
Atg101,1
Map2k5,1
Gcc2,2
Adra1a,2
Mark2,2
A330102I10Rik,0
Akr1a1,1
Cfdp1,1
Nfatc3,2
Faxc,1
4932443L11Rik,0
Cep70,2
Gm16552,0
Polr2i,1
Rpl8,0
Mctp1,2
Nr6a1os,0
Kdm5b,2
Ndufs6,1
Sppl3,2
Lingo2,2
Rpl32,0
Gtdc1,1
Dynll1,0
Hs3st1,0
Gpr27,1
Jagn1,1
Pcdh20,0
Usp42,1
Traf7,2
Lamtor5,1
Gatb,1
Susd4,1
Bex2,0
Clasp1,2
Ccdc130,1
Rnmt,1
Aatk,2
Klf9,0
Zfp930,1
Firre,2
Gm11973,1
Klhl8,1
Pacs1,2
Igf1r,2
Rpl21,0
Wdr1,1
Ube2l3,1
Cacybp,1
AA465934,1
Arid1a,1
Ncaph2,2
Pla2g3,1
Slc6a8,1
Slc1a4,1
Gtf3c3,1
Luzp2,0
4930419G24Rik,0
BC031181,1
Arntl2,1
4632404H12Rik,1
Gm15810,0
1700028K03Rik,1
Gm26638,1
Lin52,1
Rpl26,0
R3hdm4,2
Gart,1
Setd1a,2
Ppt1,2
Map3k5,2
Meis2,2
Orc2,1
Fhl2,0
Farp1,1
Atxn7l3b,0
Fbxo42,2
Abcd4,1
Ier5,1
Gm20319,0
Ciao1,1
Fam49a,0
Mapk4,0
Gpr107,2
Pou2f1,2
Eml6,1
Zfp804a,0
Narf,1
Mapt,2
Rims2,2
Fbln2,2
Rps27a,0
Sulf1,1
Pola1,2
Mmp17,2
Slc4a3,1
Rfx2,1
Mtrr,1
5330434G04Rik,2
Ptp4a2,2
Rps3a1,0
Bloc1s2,1
Npas2,2
Tle4,2
Rpl11,0
Cep57,1
Rpl22l1,0
Prrc2a,2
Khdrbs1,2
Rps11,0
Rapgef4os1,0
Morc2b,1
Atp1b1,0
Trpc6,1
Trpm4,1
Ociad2,0
Ahdc1,2
Bcl7a,1
Kcnt2,2
Stxbp5l,1
Wwox,2
Gnl3,1
Armc10,1
Ablim2,2
Ptprs,2
Uhrf1bp1l,0
Fgfr1,0
Ckap5,2
Ddx46,1
Klhl12,1
Wbp1l,1
Fah,1
Bdnf,0
Shisa9,2
Rabep1,2
Vwa8,2
Usp49,1
Arhgap1,1
Rps27,0
Spata7,2
Tmem203,1
Fchsd2,2
Eri2,1
Cep120,2
Dad1,1
Rps12,0
Srsf3,1
Nos1ap,0
Usp15,1
Gnpda1,1
Ptgr2,1
Heatr3,1
Cul9,2
Snrpf,0
Lpcat4,2
Slc9a4,2
Rpap3,1
Fat3,0
Pfkp,2
Rassf8,0
Cntn3,2
Igbp1,1
Yeats2,2
Tmem132e,1
Arhgap12,0
Lsm4,1
Tenm4,2
Arfgef2,2
Cradd,1
Tro,1
Synm,1
Gm13986,0
D430019H16Rik,1
Ubb,0
Stk3,2
Dnal1,1
Armc9,2
Rps10,0
Limch1,2
Upf3a,1
Ptpn1,1
Rgs4,1
Ccdc51,1
Gm13619,0
March6,1
Ndrg4,2
Bmp2k,1
Csnk1g1,2
Ankrd17,1
Gm16008,1
Gnptab,1
Ctnna3,1
Fryl,1
1700030K09Rik,1
Copg2,2
Arhgap5,2
Slc29a2,1
Ppp2r2c,1
Taf15,2
Npas3,1
Ptch1,2
Prdm2,2
Gbf1,2
Actr3,0
Nlgn2,2
Dcun1d3,1
Ctdspl2,2
B130034C11Rik,1
Ppif,1
Cox6a1,0
Dync1li1,1
Epha5,0
Map2,1
5330438D12Rik,0
Dhx29,2
Nemf,2
Sub1,1
Atp1a1,1
Cox7b,0
Rab2a,1
Cdon,2
2510039O18Rik,1
Jmjd8,1
Sorcs2,2
AI593442,0
Tmem243,0
Lingo3,1
Zbtb46,2
Gba,1
Snrpc,1
Mettl1,1
Foxo6,1
4732463B04Rik,1
Mpp3,1
Fra10ac1,1
Gm28050,1
Kctd9,1
Ndufa10,1
Cnpy3,1
Kndc1,2
Pskh1,1
Chchd10,0
Arhgap10,1
Skap2,2
Myo5b,2
Pcdhb20,1
Hecw1,2
Slc2a8,1
Lrp3,1
Rpl9,0
Rbm45,1
Fbrs,2
Zfp605,1
Kansl1l,0
Pigyl,1
Gm20387,1
Cadm2,0
Rora,2
5330417C22Rik,2
Thumpd2,1
Insr,2
Scaper,2
Tfdp2,0
Zfp13,1
Samd4,1
2900009J06Rik,1
Htr6,1
Nrxn2,2
Kcnd3,2
Kcnrg,1
Rwdd3,1
Hspbp1,1
Mdm2,2
Tango2,1
Arhgef28,2
Mtss1,1
AW554918,2
Prkab2,0
Znrf1,1
Itpr2,2
Car4,1
Sertad4,1
Actr1a,2
Rc3h1,2
Klf12,2
Gm26827,0
Rab27a,2
Dnajc25,1
Pcna,1
Chrd,2
Chchd1,1
Rpl13a,0
Actl6b,2
Naa15,2
Qrsl1,1
Ppfia3,1
Golga2,2
Gtf2h1,1
Uqcr11,0
Bmyc,0
Furin,1
Cep19,1
Sfi1,2
Gm11655,0
Sp1,1
Il11ra1,1
Rbm17,1
Fam222b,1
Dclre1c,1
Megf8,2
Pdrg1,1
Pkp2,0
Ppp1r14c,0
Ssb,1
Pex7,1
Kif13b,2
Gm11867,1
Cpsf7,2
0610030E20Rik,1
Tubb2a,0
Plscr4,1
Eif4g1,2
Rhobtb3,1
Cnih4,1
Cdc37l1,1
Rdh13,1
Prnp,0
Prpf39,2
6720489N17Rik,1
Lin7a,2
Kcnq3,1
Cerk,1
Inpp5j,1
Olfm3,0
Sbk1,1
Scaf11,1
Gm15813,0
Anapc13,1
Gpm6a,1
Iqcb1,1
Spcs1,0
Fis1,1
Lrrtm1,1
Dusp3,1
1810024B03Rik,1
Sec23a,2
Nrd1,1
Zik1,1
Uchl3,0
Dctn2,1
Gm15283,0
Rngtt,2
Zfp512,1
Taok2,2
Mcm8,1
Pde11a,2
Timm8b,0
Entpd5,1
Ptprk,2
Ano6,2
Man1c1,2
Lmtk2,1
Sqstm1,1
Zswim4,1
Rpl15,0
St3gal3,2
Ankrd24,1
Rps5,0
Rnft1,1
Ndufa13,0
Jam3,2
Lrrk2,2
Irgq,1
Mapkapk2,1
Rtca,2
Gspt1,1
Nefl,1
Ywhaz,0
Afap1,1
Fau,0
Cacna1g,2
Mterf1a,1
Pde1c,2
Zcwpw1,1
Pou3f1,0
Clpb,2
Coro2a,1
Atp6v1b2,1
Plat,2
Pebp1,0
Gm1992,0
Cuedc1,1
Rai14,1
Tnrc6a,2
Ncam1,2
Ube2d2a,1
Prr12,2
Gm28750,0
Gm16105,1
Dnajc6,2
Rpsa,0
Gm27253,1
Xist,2
Cd2ap,1
Fmnl1,2
Hunk,0
Rpl36,0
Sash1,0
Tiam1,2
Gm17171,0
Gpr137,1
Sept1,1
Akap8l,2
Ufsp2,1
Rps9,0
B4galnt4,1
Arhgef26,2
Arcn1,1
Tesk2,1
Galnt13,2
Frmpd1,1
Trim9,1
Anapc11,1
Mbp,2
Npepps,2
Hmces,1
Cops5,1
Srgap1,0
Snph,1
Ap1ar,1
Ankrd6,2
Cpne6,1
Gm15680,0
Runx1t1,1
2310039H08Rik,1
Tesc,1
Srrt,1
C230038L03Rik,0
Ssr2,1
Nr4a1,1
Pdlim7,1
Gm11906,0
Slc6a7,2
Ppp2r5a,1
Tmem25,1
Micu2,2
Rps28,1
Bloc1s6,1
Gm15414,0
Flt3,2
Ctdp1,1
Faf2,1
Kbtbd11,0
Ppp1r1a,0
Scfd1,1
Ube4b,2
Gria4,2
Ilf2,2
Slc39a6,1
Pcdhgb5,1
Cpeb2,2
Gtpbp1,1
Garnl3,2
Sgcd,2
Rpl6,0
Jun,1
Pianp,1
Dbnl,1
Sf3b5,0
AY036118,0
Hdac6,1
St8sia3os,0
Taf10,1
Cnnm1,2
Gm10373,1
Cog7,1
Cadm1,2
Nudt16l1,1
Zdhhc15,1
Cox8a,0
Echs1,1
Setx,2
Gdi1,2
Ndufs7,0
Shisa5,1
Rps14,0
Polr2j,1
Usp4,2
Msl3,1
Adamts6,1
Gm4924,1
Zfp472,1
Rpl7a,0
Bean1,1
1810013L24Rik,0
Ttbk1,2
Dhx16,1
Sh3bgrl3,0
Gm6994,0
Pcdhb7,1
Hipk1,1
Necab1,2
Foxj3,1
Vrk1,1
Kif17,1
Hsp90ab1,0
Got1,1
Slc2a13,2
Parm1,2
Rsf1os1,0
Bcl2l2,1
Zfp871,0
Fgf10,1
Tmem241,2
Apba2,1
Atxn2l,2
Ddx55,1
Gtf2h5,1
Snrnp70,2
Rpl37,0
2810049E08Rik,1
Gnal,2
Tfeb,1
Atp2c1,0
Atg16l1,1
Gm15594,0
Cc2d2a,2
Gab2,2
Polk,1
Tbata,1
Arl3,2
Sept7,2
2610507B11Rik,2
Arid3a,1
Cd3eap,1
Mrpl53,1
Zfp143,1
Rad51c,1
Ntn1,1
Suz12,2
Trappc6a,1
Crk,1
Wls,1
Dhx30,2
Dtx3,2
Pus10,1
Zfp689,1
Zfp692,1
1700111E14Rik,0
Rdh10,1
Kcnh2,1
Adam19,1
Cdh6,0
Rttn,2
Msmo1,1
Lhx2,1
Zfp619,1
Med28,1
Foxj2,1
Bbs4,2
Pcdh7,2
Gm17106,0
Nfkb1,2
Cwc27,2
E130307A14Rik,2
Tspan5,0
Scai,1
Sclt1,1
Zbtb4,2
BC005537,2
Scand1,0
Gm29237,0
4430402I18Rik,0
Rbms3,2
Rab8b,1
Syncrip,1
A930005H10Rik,1
Klc2,2
Cers4,2
Plcg1,1
Adamts10,1
Clmp,0
Araf,2
Vopp1,1
Grin1,2
Lmnb2,1
Shank3,2
Mettl25,1
Srek1ip1,1
Elavl3,2
Ift172,2
Chn1,0
Ptprq,1
Prkca,0
Ccar1,2
Ggnbp2,2
Traf3ip2,0
Zfp629,1
Dffa,1
Mtx1,1
Nek9,2
Iqce,1
Cebpz,2
Zfp592,2
Fnta,1
Daxx,1
Gpc4,1
Agap2,2
Nalcn,2
Dsel,1
Srp54a,1
Usp50,0
Cdh20,1
Chac2,1
Clip2,2
Hdac1,1
Chrm3,0
Tmem19,1
Ibtk,1
Tmbim6,1
Mrpl41,0
Zmym2,1
Sorcs3,0
Rgs20,1
Drp2,1
Kcnd2,1
Thap4,1
Ubr1,2
Zfp791,1
Mocs2,1
Rnf170,2
Kcnn2,1
Sema4d,2
Sel1l3,2
Pdpr,1
4931428F04Rik,1
P2ry14,0
Kif16b,2
Gle1,2
Ppp5c,1
Wdr90,1
Katnal1,1
Hook2,2
Cdc14b,2
Dhx15,1
Nt5m,1
C030034I22Rik,1
Ndufb2,1
Syap1,1
Nup85,1
Cdk7,2
Slc44a5,2
Fam45a,2
Thra,1
Dpf1,2
Nnat,0
A230004M16Rik,0
Nedd4,2
Dnajc7,2
Gm26936,0
Coq5,1
Acbd3,1
Gm11613,2
Rnps1,1
D430042O09Rik,1
Dennd5b,2
Katnb1,1
Wipf3,0
Abcf2,1
Dgkb,1
Cndp2,1
Hspbap1,1
Fndc3a,2
Shcbp1l,1
Ccnf,1
Tyms,1
Sin3b,1
Cbx7,2
Cyb561,1
Spata2,1
Hnrnpab,1
Pacrg,2
Neurod6,0
Atp2b2,0
Grik4,2
Nat14,1
Cyp2r1,1
Robo1,0
Reck,1
Ptrh2,1
Nuak1,1
Psmb5,0
Ptpro,0
Surf6,1
Rb1,0
Ptma,1
Nrxn3,0
Sgpl1,1
Gm14326,1
Actr2,0
Acaca,2
Stard3,1
Trpm7,2
Gm15398,0
Prpf6,2
Cog4,2
Trpm3,2
Pick1,1
Naga,1
Bbs9,2
Asxl1,2
Xxylt1,1
Prmt7,1
Cmip,2
Brd7,1
Sars2,1
BC048403,1
Exosc10,2
4930512B01Rik,0
Frmd5,2
Mettl21a,1
Hnrnpl,2
Phf2,1
Hdac9,0
Rps25,0
Ndufc2,0
Smyd3,2
Gapvd1,2
Pdss2,1
Armcx2,1
Wfs1,0
Cox5b,0
Rbbp4,2
Numbl,1
Cul2,2
Pcdhb19,1
Srrm4,2
Nek4,1
Fam53b,1
Fus,2
Mcfd2,1
Rasal1,1
Stk19,1
Ctsd,1
Kcmf1,2
Ubap2l,1
Daam1,2
Hus1,1
Trim39,1
Gm11099,0
Cdc73,2
Sntb2,2
Khdrbs2,2
Ttll12,1
Kmt2b,1
Ppia,0
Bex1,1
Cyp51,1
Cdc42se2,1
Usp21,1
Nme6,1
Sirt7,1
Por,1
Rplp1,0
Rps7,0
Rps6ka2,1
Ctnnal1,2
Cep85,2
Psmd13,2
Ncam2,2
Brk1,0
Cep85l,1
Blcap,1
Naa40,1
Mfsd11,2
Rnf214,2
2810021J22Rik,1
Hspa8,0
Ran,1
Crocc,2
E330009J07Rik,1
March1,1
Scpep1,1
Mms19,2
March3,2
Stt3b,0
Hsp90aa1,0
Nav1,1
Tnrc18,2
Aftph,1
Glmn,1
Nap1l5,0
Erap1,1
Gm13269,0
Ryr3,1
Gm21798,0
Kif5a,2
Fam13c,1
Phf1,2
Sfr1,1
Izumo4,2
Fgd4,1
Rprml,0
Sorbs2os,0
Mt3,0
Mroh1,2
Anln,1
B3glct,2
Slc24a2,0
Trp53inp1,1
Atp8a2,2
Sphkap,0
Mad1l1,1
Gm16152,0
Eml1,1
Srsf5,2
Zbtb24,1
Cox16,1
Flrt1,1
Slc39a13,1
1700109K24Rik,0
Pde4b,2
Gm5577,1
1600010M07Rik,0
Cdc26,2
Rabggta,1
Fbxl7,2
Thpo,1
Lmo3,0
Wsb2,1
Rmnd1,1
Adcy1,0
Rpl29,0
Rsf1os2,0
Gmppa,1
Als2,2
Rbm25,2
Colgalt1,2
Phlpp2,1
Commd8,1
Tbl1xr1,1
3110021N24Rik,0
Hist3h2a,0
Shb,1
Arl15,1
Tecpr2,1
Letm2,2
Tmsb10,0
Rapgef2,1
Kcnj12,1
Ddx59,1
Atxn7l3,1
Mphosph8,2
Aars,2
Bptf,2
Ubr4,2
Ndufa6,1
Pkm,1
Rundc3a,2
Sertad2,0
Etv1,2
Eif3f,1
Cdc27,2
Trim35,0
Arap2,0
Gm26953,1
Shprh,1
Zmynd8,2
Camsap1,2
Cdh8,0
Ipo8,2
Zfp839,1
Iffo1,1
Gtf3c5,1
Pdk3,1
Plekhm2,2
Cyp4f13,1
Zfp324,1
Mccc2,1
Dcaf8,2
Ube2o,2
Atp11c,1
Tm9sf1,1
Slc30a4,1
Cxxc5,1
Cux1,2
Adamts20,1
Kcnh3,2
Prmt8,0
Rps16,0
Psmc6,0
Usp34,1
Magee1,1
Rpl41,0
Nyap1,1
Gng13,1
Trmt112,1
Dcaf10,2
Cdk12,1
Dld,1
Dhdds,2
Spag9,2
Sap130,2
Gm28375,0
Dennd6a,2
3110040N11Rik,1
Igsf11,0
Col6a1,1
Vps16,2
Alcam,1
Tmcc2,1
Myo5a,2
Pcgf6,2
Ppp1cc,1
Tmed7,1
Igf2bp3,0
Cox6c,0
Adam4,1
Lyrm1,1
Uqcc2,0
Msantd4,1
Slc25a4,0
Slc8a2,1
Atp5f1,1
Rbm33,2
Ccnjl,1
Slit2,2
Mest,1
Grin3a,2
Gm13963,0
Wdr66,1
Fbxo7,1
Nell2,0
Nxf1,2
0610012G03Rik,0
Slc38a9,2
Cox5a,0
Acat2,1
Pnpla6,2
Med30,1
Zfpl1,1
Dnajc27,1
Tubb5,0
Nrbp2,2
Ttll5,2
Caln1,2
Fbxo3,1
Topbp1,1
Plekhg5,1
Herc4,2
Zfp438,1
Ldb2,2
Gm20642,0
Scn9a,1
Pitpnm3,2
Ndel1,1
Neto1,2
Lhfp,0
Fam149b,1
Oaz1,0
Gpaa1,1
Arhgef2,2
H2afj,0
Psme3,1
Epha4,0
Adsl,1
Rpl39,1
Tmtc2,2
Wdr41,1
Tmem120b,2
Eed,1
Alg1,1
Cotl1,1
Pde7b,1
Trrap,1
Cfap70,1
Plxdc1,1
Pcgf1,1
Grin2a,0
4930452B06Rik,1
Scube1,2
Mapk1ip1l,1
Morn2,1
Extl1,1
Cttn,0
Ppil4,1
Rbm10,2
Prkcb,0
Camkk1,1
Phka2,2
Srgap2,1
Tmem181a,1
Nhej1,1
Casp9,1
Prtg,2
Brinp3,1
Zfp964,1
Caskin1,2
Fhod3,0
Rps6ka5,2
Stk11,1
Map3k10,2
Capn15,2
Itm2b,0
Mta2,1
Tox,2
Hs3st2,2
Glt1d1,2
Zmym4,1
Hspa12a,1
Zfp334,1
Chrna5,0
Cdc7,2
Bicd1,1
Vps13a,2
Zfp574,1
4833420G17Rik,1
Nbr1,2
D430041D05Rik,2
Mrpl55,1
4833422C13Rik,1
Rpgr,1
Set,1
Wdr47,1
Tmsb4x,0
Chkb,1
Smarca2,2
Abcb9,1
Panx2,1
Ints3,2
Nedd4l,1
C130060C02Rik,1
Strap,1
Herc1,1
Pik3cb,2
Slc35b3,1
Cdk19,1
Fbxo4,1
Arf1,0
Tsga10,1
Fancc,1
Ddx24,0
Hadha,1
Spaca6,1
Axin1,2
Tmem63c,1
Zfp821,1
Gripap1,2
Gm17066,2
Sumf1,1
Dyrk2,1
1700007F19Rik,0
A730090N16Rik,0
Tenm1,2
Angptl1,0
Rsrc2,2
Bsn,2
Gabbr1,1
Ugdh,2
Snd1,0
Fam122a,1
Dars2,1
Rps21,0
Rad50,1
Rnf216,2
Mpdz,2
Tuba1a,0
Cacna1c,2
Dock7,2
Msi2,1
Rian,1
Fras1,2
Zdhhc20,2
Zkscan16,2
Tmed4,1
Luc7l3,2
Tcea2,1
Uhrf1bp1,1
Frrs1l,0
Rasgrp1,0
Rap1gap2,2
Rnf130,2
2900026A02Rik,0
Frmpd3,2
Zfp746,1
Gm14412,2
Sfswap,2
Capza1,1
Magi3,2
Exd2,2
Aqp11,1
Pvt1,1
Marf1,2
Tvp23b,1
Pomgnt1,1
Lztr1,2
Fbxo21,2
Eef1a1,0
Alg9,1
Rps6kb1,1
Aldoa,0
Ccny,1
Bag2,1
Oxr1,2
Ank,2
Dennd4a,2
Tgds,1
Rsrp1,2
Plekha6,2
Wipf2,2
Etnk1,1
Gm11639,2
Ptk2,2
Dclk1,1
Bicc1,2
Ndst4,0
Rpl36a,0
Ankrd26,1
Orc5,1
Rpl10,0
Naa30,1
Taf5,1
Ern1,1
Zfhx3,1
Ptprg,2
St6galnac6,1
Rpl13,0
Gm17231,0
Gm20342,1
Crtac1,2
Smim7,1
Enpp2,2
Ankhd1,2
6820408C15Rik,1
Srrm4os,1
Fmnl2,2
Oxnad1,1
Abl1,1
Dnajc8,1
Prr16,2
Dtx2,1
Mrpl23,1
Ttc4,1
Sacm1l,1
Vps37a,1
Atp5k,0
Llgl1,1
Fbxl20,2
Fancb,1
Parp1,0
Lpgat1,2
A430010J10Rik,1
Fbxl19,1
Dcun1d4,1
Gfer,1
Endov,1
Ets2,1
Dtd2,1
Prss36,1
BC052040,1
Ccz1,2
Gng7,1
Ddx31,1
Cecr2,2
Clmn,1
Cntnap5b,2
A330076H08Rik,2
Eea1,1
Pard3b,1
Golga4,2
Cpeb3,2
Tsc22d1,1
Cep290,2
Sirt6,1
Creg1,1
Usp5,1
Tmem259,2
Kat2b,1
Kcnk3,1
D6Wsu163e,1
Rpl12,0
Srrm1,2
Nr4a3,0
Mcu,1
Htr2c,2
Car10,2
Fbxl18,1
Ldlr,2
Smarcc2,2
Atraid,1
Stam2,2
Mageh1,0
Dlg1,2
Shkbp1,2
Slc25a23,2
Pus7,2
Sparcl1,1
Lars,1
Ccnd3,2
Rmi1,1
Phf21a,1
Plxnc1,2
Tbc1d12,2
Wtip,1
Gm16054,0
Spock1,2
Palm,2
Srcap,2
Ap1b1,2
Arhgap24,1
Nipbl,2
Pcmt1,2
Taok3,2
Itm2c,0
Mrfap1,0
Zfc3h1,2
Pabpn1,2
Atp6v1f,0
Zfp523,2
Cfap44,1
B230110G15Rik,0
Csgalnact1,2
Gcdh,1
Pik3c3,1
Emb,1
Gin1,1
Dnajc18,1
Pigf,1
Grid2,2
Cox7a2,0
Dach1,2
Atad1,1
Limk2,2
Usf1,1
Numa1,2
Siae,1
Sf3b1,1
Slc1a2,1
Tbc1d9b,2
Mif,0
Serac1,2
Hist3h2ba,0
Trabd2b,1
Fam71e1,1
Sec14l1,0
Inpp4b,2
Pfdn5,1
Rmdn1,1
Cpne4,2
Srebf2,2
Tpt1,0
Ano4,0
Kirrel3,2
4921534H16Rik,0
Adcy6,1
1500011B03Rik,1
Zfp609,1
Pitrm1,2
Ndufb10,1
Mbip,1
Utp15,1
Trmt10c,1
Adprm,2
Cdh18,2
Wasl,0
Mtmr7,1
Ppip5k2,1
Rgs6,2
Ip6k2,1
Nell1,0
Slc4a8,1
Grm8,2
3222401L13Rik,2
