geneslop2k,pvalue,corrected_pvalue,18mo,2mo,9mo,gene_length,DMG,gene_name
ENSMUSG00000026090.16,1.8802996188537534e-07,0.0013728639565261,1.6030869483947754,1.7352277040481567,1.606381058692932,108408,1,2010300C02Rik
ENSMUSG00000110996.1,1.23000838099486e-07,0.0010477442964343,1.4614484310150146,1.6295931339263916,1.5464913845062256,52046,1,Gm36251
ENSMUSG00000039530.17,1.875285643955067e-07,0.0013728639565261,1.0800108909606934,1.2007403373718262,1.0823180675506592,159269,1,Tusc3
ENSMUSG00000062202.14,1.6185527256047814e-08,0.0001772631879865,1.917151689529419,2.037739515304565,1.9394550323486328,360964,1,Btbd9
ENSMUSG00000040490.4,1.9129968836877293e-08,0.0002022860807662,1.6608781814575195,1.881682276725769,1.722814679145813,165209,1,Lrfn2
ENSMUSG00000095186.1,1.4204612304242722e-06,0.0073829020835902,0.5983445048332214,0.7127817869186401,0.6790832877159119,1671,1,Gm10718
ENSMUSG00000106570.1,6.689295098898965e-07,0.0041051382795483,2.4511806964874268,2.954965829849243,2.6557934284210205,2972,1,C230071H17Rik
ENSMUSG00000024064.14,3.0663684613762013e-08,0.0003033279158233,1.88728666305542,2.040958404541016,1.9313032627105715,217225,1,Galnt14
ENSMUSG00000021991.9,9.489459751419828e-16,5.819976342259864e-11,2.110220432281494,2.3128201961517334,2.146059274673462,816921,1,Cacna2d3
ENSMUSG00000040118.15,2.0110709476638814e-06,0.0099468470082995,1.8512592315673828,1.9728299379348757,1.906013250350952,439820,1,Cacna2d1
ENSMUSG00000055320.17,1.683495179614194e-12,5.162518401638802e-08,2.444106340408325,2.684373378753662,2.5231900215148926,227489,1,Tead1
ENSMUSG00000059187.12,2.012484204117463e-07,0.0014352044101354,2.0580875873565674,2.164956569671631,2.090878963470459,544044,1,Tafa1
ENSMUSG00000029925.13,1.1283176447871113e-07,0.0009746591453644,2.113800048828125,2.2592573165893555,2.132894992828369,209181,1,Tbxas1
ENSMUSG00000074564.3,5.171040688790755e-16,3.523831851570596e-11,0.738952100276947,1.002244234085083,0.7660792469978333,1556,1,Gm10720
ENSMUSG00000036557.8,9.403131472365164e-07,0.005290853563123,1.882311224937439,2.100148916244507,1.9559299945831297,38170,1,Stpg4
ENSMUSG00000078952.9,2.3326406337545655e-07,0.0016295602728124,1.8931728601455688,2.097938060760498,1.9665018320083616,62037,1,Lncenc1
ENSMUSG00000026799.15,6.693419730063792e-07,0.0041051382795483,2.181728839874268,2.3594582080841064,2.194606065750122,177974,1,Med27
ENSMUSG00000048706.3,7.886289262953743e-09,0.0001074830347234,1.213118076324463,1.4656870365142822,1.3471852540969849,44982,1,Lurap1l
ENSMUSG00000087625.1,7.738509200539817e-07,0.0046303649016599,2.2933385372161865,2.557313203811645,2.4488112926483154,63830,1,4930419G24Rik
ENSMUSG00000095547.1,7.732221868880516e-13,2.9639034734864506e-08,0.5982630252838135,0.7713443040847778,0.6459754109382629,4185,1,Gm10719
ENSMUSG00000114329.1,1.2985099616910592e-07,0.001090943243071,1.6365355253219604,1.892309069633484,1.640518069267273,10090,1,Gm30489
ENSMUSG00000057378.15,4.262975188401126e-13,1.8675167271338052e-08,1.820594310760498,1.955865502357483,1.8426300287246704,585741,1,Ryr3
ENSMUSG00000032418.15,2.3256349770160994e-08,0.0002338252711563,2.61904239654541,2.853485584259033,2.653834819793701,114582,1,Me1
ENSMUSG00000095891.7,1.5684531500596477e-13,7.399594648581881e-09,0.6612761616706848,0.8184170722961426,0.7255122065544128,7872,1,Gm10717
ENSMUSG00000059173.19,1.8643062034900613e-08,0.0002005959314059,1.5121992826461792,1.6273918151855469,1.5141546726226809,295005,1,Pde1a
ENSMUSG00000026235.14,4.983518595200917e-09,8.260647498767402e-05,2.2181265354156494,2.46321964263916,2.437518119812012,147903,1,Epha4
ENSMUSG00000038740.9,1.2655522631861924e-08,0.0001552350592041,1.1857595443725586,1.2975951433181765,1.198689341545105,157993,1,Mvb12b
ENSMUSG00000089809.9,4.588471517535705e-12,1.3400730604437906e-07,2.4618241786956787,2.6271719932556152,2.466349840164185,511639,1,Rasgef1b
ENSMUSG00000096519.1,1.3068701560350675e-16,1.335859924198448e-11,0.7922241687774658,1.0973775386810305,0.7942659854888916,1204,1,Gm10721
